Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_Y 	
-31.1000003814697 	-0.0622000048169866 	-31.1000003814697 	0 	
-31 	-0.0295999907502846 	-31 	0 	
-30.8999996185303 	-0.033100004769949 	-30.8999996185303 	0 	
-30.8000011444092 	-0.0381999963574344 	-30.8000011444092 	0 	
-30.7000007629395 	-0.0690000121139747 	-30.7000007629395 	0 	
-30.6000003814697 	-0.0210000194565509 	-30.6000003814697 	0 	
-30.5 	-0.0255000547404052 	-30.5 	0 	
-30.3999996185303 	-0.0544000331901771 	-30.3999996185303 	0 	
-30.3000011444092 	-0.101799952128204 	-30.3000011444092 	0 	
-30.2000007629395 	-0.0512001186398265 	-30.2000007629395 	0 	
-30.1000003814697 	-0.0429998947183776 	-30.1000003814697 	0 	
-30 	-0.0474000690483081 	-30 	0 	
-29.8999996185303 	-0.0476000396774907 	-29.8999996185303 	0 	
-29.8000011444092 	-0.0635999954247382 	-29.8000011444092 	0 	
-29.7000007629395 	-0.0740999309564359 	-29.7000007629395 	0 	
-29.6000003814697 	-0.080699990849098 	-29.6000003814697 	0 	
-29.5 	-0.0888999355338456 	-29.5 	0 	
-29.3999996185303 	-0.0788999984761176 	-29.3999996185303 	0 	
-29.3000011444092 	-0.0840998855601356 	-29.3000011444092 	0 	
-29.2000007629395 	-0.0803000652340415 	-29.2000007629395 	0 	
-29.1000003814697 	-0.0759000499747344 	-29.1000003814697 	0 	
-29 	-0.0649000228913792 	-29 	0 	
-28.8999996185303 	-0.0409999958064873 	-28.8999996185303 	0 	
-28.8000011444092 	0.104899882888276 	-28.8000011444092 	0 	
-28.7000007629395 	0.0680999887445068 	-28.7000007629395 	0 	
-28.6000003814697 	0.06200002937112 	-28.6000003814697 	0 	
-28.5 	-0.0497000425348233 	-28.5 	0 	
-28.3999996185303 	-0.0333000495920714 	-28.3999996185303 	0 	
-28.3000011444092 	-0.0523999706274481 	-28.3000011444092 	0 	
-28.2000007629395 	-0.0558999818822485 	-28.2000007629395 	0 	
-28.1000003814697 	-0.0511000459700881 	-28.1000003814697 	0 	
-28 	-0.0569000080104161 	-28 	0 	
-27.8999996185303 	-0.0497999481231091 	-27.8999996185303 	0 	
-27.8000011444092 	-0.0586999918014044 	-27.8000011444092 	0 	
-27.7000007629395 	-0.0599000246074866 	-27.7000007629395 	0 	
-27.6000003814697 	-0.0497000394861971 	-27.6000003814697 	0 	
-27.5 	-0.042799989321793 	-27.5 	0 	
-27.3999996185303 	-0.0387999635713641 	-27.3999996185303 	0 	
-27.3000011444092 	-0.0430999599484494 	-27.3000011444092 	0 	
-27.2000007629395 	-0.0466000288033683 	-27.2000007629395 	0 	
-27.1000003814697 	-0.0521000204098527 	-27.1000003814697 	0 	
-27 	-0.0624000282332418 	-27 	0 	
-26.9000015258789 	-0.069499998477113 	-26.9000015258789 	0 	
-26.7999992370605 	-0.0696999717765721 	-26.7999992370605 	0 	
-26.7000007629395 	-0.0687999691035657 	-26.7000007629395 	0 	
-26.6000003814697 	-0.0713999874133151 	-26.6000003814697 	0 	
-26.5 	-0.0714000555053644 	-26.5 	0 	
-26.4000015258789 	-0.0726999546095612 	-26.4000015258789 	0 	
-26.2999992370605 	-0.0749000227006036 	-26.2999992370605 	0 	
-26.2000007629395 	-0.0797999414498918 	-26.2000007629395 	0 	
-26.1000003814697 	-0.0950999444976333 	-26.1000003814697 	0 	
-26 	-0.10830005626849 	-26 	0 	
-25.9000015258789 	-0.113900000764261 	-25.9000015258789 	0 	
-25.7999992370605 	-0.119499940872629 	-25.7999992370605 	0 	
-25.7000007629395 	-0.124200030328211 	-25.7000007629395 	0 	
-25.6000003814697 	-0.130399980931543 	-25.6000003814697 	0 	
-25.5 	-0.132699993515416 	-25.5 	0 	
-25.4000015258789 	-0.135099999337399 	-25.4000015258789 	0 	
-25.2999992370605 	-0.142800008870836 	-25.2999992370605 	0 	
-25.2000007629395 	-0.148900010968646 	-25.2000007629395 	0 	
-25.1000003814697 	-0.149900006294047 	-25.1000003814697 	0 	
-25 	-0.151800007726706 	-25 	0 	
-24.9000015258789 	-0.150400003054528 	-24.9000015258789 	0 	
-24.7999992370605 	-0.142600015642529 	-24.7999992370605 	0 	
-24.7000007629395 	-0.139800028231548 	-24.7000007629395 	0 	
-24.6000003814697 	-0.131600006963708 	-24.6000003814697 	0 	
-24.5 	-0.121399998570269 	-24.5 	0 	
-24.4000015258789 	-0.118000005724753 	-24.4000015258789 	0 	
-24.2999992370605 	-0.112699987126689 	-24.2999992370605 	0 	
-24.2000007629395 	-0.11060001525766 	-24.2000007629395 	0 	
-24.1000003814697 	-0.110600004773005 	-24.1000003814697 	0 	
-24 	-0.108299990562955 	-24 	0 	
-23.9000015258789 	-0.105200019359472 	-23.9000015258789 	0 	
-23.7999992370605 	-0.101699994658702 	-23.7999992370605 	0 	
-23.7000007629395 	-0.0994000068676542 	-23.7000007629395 	0 	
-23.6000003814697 	-0.0961999957107764 	-23.6000003814697 	0 	
-23.5 	-0.0949000011460157 	-23.5 	0 	
-23.4000015258789 	-0.0944999876046495 	-23.4000015258789 	0 	
-23.2999992370605 	-0.0904999733938894 	-23.2999992370605 	0 	
-23.2000007629395 	-0.0867000021935382 	-23.2000007629395 	0 	
-23.1000003814697 	-0.0836999774983269 	-23.1000003814697 	0 	
-23 	-0.0814000198370195 	-23 	0 	
-22.9000015258789 	-0.0788999792130198 	-22.9000015258789 	0 	
-22.7999992370605 	-0.0768999853135028 	-22.7999992370605 	0 	
-22.7000007629395 	-0.0744999778798956 	-22.7000007629395 	0 	
-22.6000003814697 	-0.0732000202187919 	-22.6000003814697 	0 	
-22.5 	-0.072599993134645 	-22.5 	0 	
-22.4000015258789 	-0.0709999894170323 	-22.4000015258789 	0 	
-22.2999992370605 	-0.0671000114452909 	-22.2999992370605 	0 	
-22.2000007629395 	-0.0654999775906617 	-22.2000007629395 	0 	
-22.1000003814697 	-0.0650999738718383 	-22.1000003814697 	0 	
-22 	-0.0647999928478384 	-22 	0 	
-21.9000015258789 	-0.0639999952327344 	-21.9000015258789 	0 	
-21.7999992370605 	-0.0643000209820457 	-21.7999992370605 	0 	
-21.7000007629395 	-0.0643000104937528 	-21.7000007629395 	0 	
-21.6000003814697 	-0.0625000264190021 	-21.6000003814697 	0 	
-21.5 	-0.0620000091585098 	-21.5 	0 	
-21.4000015258789 	-0.06049999494644 	-21.4000015258789 	0 	
-21.2999992370605 	-0.0582000237482134 	-21.2999992370605 	0 	
-21.2000007629395 	-0.0552999732972239 	-21.2000007629395 	0 	
-21.1000003814697 	-0.0513000285172893 	-21.1000003814697 	0 	
-21 	-0.0488999878907634 	-21 	0 	
-20.9000015258789 	-0.0467000136413844 	-20.9000015258789 	0 	
-20.7999992370605 	-0.0440999994279991 	-20.7999992370605 	0 	
-20.7000007629395 	-0.0427000055315148 	-20.7000007629395 	0 	
-20.6000003814697 	-0.0410000048686925 	-20.6000003814697 	0 	
-20.5 	-0.0407000245104427 	-20.5 	0 	
-20.4000015258789 	-0.0397000109696819 	-20.4000015258789 	0 	
-20.2999992370605 	-0.0391000177405658 	-20.2999992370605 	0 	
-20.2000007629395 	-0.0373999943767558 	-20.2000007629395 	0 	
-20.1000003814697 	-0.037100014022144 	-20.1000003814697 	0 	
-20 	-0.0357999906591431 	-20 	0 	
-19.9000015258789 	-0.0356000004794623 	-19.9000015258789 	0 	
-19.7999992370605 	-0.0342999967615469 	-19.7999992370605 	0 	
-19.7000007629395 	-0.0326999930402962 	-19.7000007629395 	0 	
-19.6000003814697 	-0.0298000021939515 	-19.6000003814697 	0 	
-19.5 	-0.0278000113503367 	-19.5 	0 	
-19.4000015258789 	-0.0246999971423065 	-19.4000015258789 	0 	
-19.2999992370605 	-0.0226000130678585 	-19.2999992370605 	0 	
-19.2000007629395 	-0.0218999829303357 	-19.2000007629395 	0 	
-19.1000003814697 	-0.0209000289942196 	-19.1000003814697 	0 	
-19 	-0.0184999951379723 	-19 	0 	
-18.9000015258789 	-0.0178000246050942 	-18.9000015258789 	0 	
-18.7999992370605 	-0.0166000110657478 	-18.7999992370605 	0 	
-18.7000007629395 	-0.0163000171705789 	-18.7000007629395 	0 	
-18.6000003814697 	-0.0144999863659905 	-18.6000003814697 	0 	
