Run 1; Fc 5-1 corr; Cy 20; MWAC-4324; Conc 140 nM_X 	Run 1; Fc 5-1 corr; Cy 20; MWAC-4324; Conc 140 nM_Y 	Run 1; Fc 5-1 corr; Cy 20; MWAC-4324; Conc 140 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 20; MWAC-4324; Conc 140 nM; Fitted_Y 	Run 1; Fc 5-1 corr; Cy 21; MWAC-4324; Conc 410 nM_X 	Run 1; Fc 5-1 corr; Cy 21; MWAC-4324; Conc 410 nM_Y 	Run 1; Fc 5-1 corr; Cy 21; MWAC-4324; Conc 410 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 21; MWAC-4324; Conc 410 nM; Fitted_Y 	Run 1; Fc 5-1 corr; Cy 22; MWAC-4324; Conc 1230 nM_X 	Run 1; Fc 5-1 corr; Cy 22; MWAC-4324; Conc 1230 nM_Y 	Run 1; Fc 5-1 corr; Cy 22; MWAC-4324; Conc 1230 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 22; MWAC-4324; Conc 1230 nM; Fitted_Y 	Run 1; Fc 5-1 corr; Cy 23; MWAC-4324; Conc 3700 nM_X 	Run 1; Fc 5-1 corr; Cy 23; MWAC-4324; Conc 3700 nM_Y 	Run 1; Fc 5-1 corr; Cy 23; MWAC-4324; Conc 3700 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 23; MWAC-4324; Conc 3700 nM; Fitted_Y 	Run 1; Fc 5-1 corr; Cy 24; MWAC-4324; Conc 11110 nM_X 	Run 1; Fc 5-1 corr; Cy 24; MWAC-4324; Conc 11110 nM_Y 	Run 1; Fc 5-1 corr; Cy 24; MWAC-4324; Conc 11110 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 24; MWAC-4324; Conc 11110 nM; Fitted_Y 	Run 1; Fc 5-1 corr; Cy 25; MWAC-4324; Conc 33330 nM_X 	Run 1; Fc 5-1 corr; Cy 25; MWAC-4324; Conc 33330 nM_Y 	Run 1; Fc 5-1 corr; Cy 25; MWAC-4324; Conc 33330 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 25; MWAC-4324; Conc 33330 nM; Fitted_Y 	Run 1; Fc 5-1 corr; Cy 26; MWAC-4324; Conc 100000 nM_X 	Run 1; Fc 5-1 corr; Cy 26; MWAC-4324; Conc 100000 nM_Y 	Run 1; Fc 5-1 corr; Cy 26; MWAC-4324; Conc 100000 nM; Fitted_X 	Run 1; Fc 5-1 corr; Cy 26; MWAC-4324; Conc 100000 nM; Fitted_Y 	
-29.2999992370605 	0.23700002746773 	-29.2999992370605 	0 	-29.2000007629395 	0.421094685938442 	-29.2000007629395 	0 	-29.2000007629395 	0.449494685934042 	-29.2000007629395 	0 	-29.2000007629395 	0.380494685930898 	-29.2000007629395 	0 	-29 	1.08259998893482 	-29 	0 	-28.8999996185303 	1.3480999799649 	-28.8999996185303 	0 	-28.8999996185303 	1.19579997997062 	-28.8999996185303 	0 	
-29.1999988555908 	0.362900050356984 	-29.1999988555908 	0 	-29.1000003814697 	0.506700036625261 	-29.1000003814697 	0 	-29.1000003814697 	0.504200036615657 	-29.1000003814697 	0 	-29.1000003814697 	0.466400036617415 	-29.1000003814697 	0 	-28.8999996185303 	1.04639997997583 	-28.8999996185303 	0 	-28.7999992370605 	1.21169994983211 	-28.7999992370605 	0 	-28.7999992370605 	1.07119994983077 	-28.7999992370605 	0 	
-29.0999984741211 	0.342105758667458 	-29.0999984741211 	0 	-29 	0.492099988943664 	-29 	0 	-29 	0.495499988937809 	-29 	0 	-29 	0.556899988936493 	-29 	0 	-28.7999992370605 	0.769499949834426 	-28.7999992370605 	0 	-28.6999988555908 	0.91779997672711 	-28.6999988555908 	0 	-28.6999988555908 	0.831699976726668 	-28.6999988555908 	0 	
-29 	0.319299988936109 	-29 	0 	-28.9000015258789 	0.277596999745583 	-28.9000015258789 	0 	-28.9000015258789 	0.351596999746107 	-28.9000015258789 	0 	-28.9000015258789 	0.370096999737143 	-28.9000015258789 	0 	-28.7000007629395 	0.466499261470744 	-28.7000007629395 	0 	-28.6000003814697 	0.5399000486359 	-28.6000003814697 	0 	-28.6000003814697 	0.512000048634945 	-28.6000003814697 	0 	
-28.8999996185303 	0.174799979977251 	-28.8999996185303 	0 	-28.8000011444092 	0.0650988769557443 	-28.8000011444092 	0 	-28.8000011444092 	0.12409887695685 	-28.8000011444092 	0 	-28.8000011444092 	0.167598876949342 	-28.8000011444092 	0 	-28.6000003814697 	0.152300048634061 	-28.6000003814697 	0 	-28.5 	0.243200003620586 	-28.5 	0 	-28.5 	0.214100003620842 	-28.5 	0 	
-28.7999992370605 	0.14699994984403 	-28.7999992370605 	0 	-28.7000007629395 	-0.0233007385249948 	-28.7000007629395 	0 	-28.7000007629395 	0.0175992614749703 	-28.7000007629395 	0 	-28.7000007629395 	-0.00410073852253845 	-28.7000007629395 	0 	-28.5 	0.0426000036241021 	-28.5 	0 	-28.3999996185303 	0.118200011820591 	-28.3999996185303 	0 	-28.3999996185303 	0.0592000118267606 	-28.3999996185303 	0 	
-28.6999988555908 	0.150099976730417 	-28.6999988555908 	0 	-28.6000003814697 	-0.0842999513624818 	-28.6000003814697 	0 	-28.6000003814697 	-0.052499951365462 	-28.6000003814697 	0 	-28.6000003814697 	-0.0485999513693969 	-28.6000003814697 	0 	-28.3999996185303 	-0.0140999881768948 	-28.3999996185303 	0 	-28.2999992370605 	0.1064000223123 	-28.2999992370605 	0 	-28.2999992370605 	0.0256000223089359 	-28.2999992370605 	0 	
-28.5999984741211 	0.119299929428962 	-28.5999984741211 	0 	-28.5 	-0.0939999963811715 	-28.5 	0 	-28.5 	-0.0793999963789247 	-28.5 	0 	-28.5 	-0.0627999963762704 	-28.5 	0 	-28.2999992370605 	-0.0242999776892248 	-28.2999992370605 	0 	-28.1999988555908 	0.077199982071761 	-28.1999988555908 	0 	-28.1999988555908 	-0.0123000179301016 	-28.1999988555908 	0 	
-28.5 	0.137500003627792 	-28.5 	0 	-28.4000015258789 	-0.0911997497532866 	-28.4000015258789 	0 	-28.4000015258789 	-0.085299749756814 	-28.4000015258789 	0 	-28.4000015258789 	-0.0668997497559758 	-28.4000015258789 	0 	-28.2000007629395 	-0.0161997795075877 	-28.2000007629395 	0 	-28.1000003814697 	0.090099961089436 	-28.1000003814697 	0 	-28.1000003814697 	-0.0218000389140798 	-28.1000003814697 	0 	
-28.3999996185303 	0.134400011826074 	-28.3999996185303 	0 	-28.3000011444092 	-0.0732999776882934 	-28.3000011444092 	0 	-28.3000011444092 	-0.0679999776839395 	-28.3000011444092 	0 	-28.3000011444092 	-0.0387999776867218 	-28.3000011444092 	0 	-28.1000003814697 	-0.0012000389106106 	-28.1000003814697 	0 	-28 	0.101299989888503 	-28 	0 	-28 	-0.00980001010611886 	-28 	0 	
