Run 1; Fc 2-1 corr; Cy 12; CDD-4774; Conc 140 nM_X 	Run 1; Fc 2-1 corr; Cy 12; CDD-4774; Conc 140 nM_Y 	Run 1; Fc 2-1 corr; Cy 12; CDD-4774; Conc 140 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 12; CDD-4774; Conc 140 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 13; CDD-4774; Conc 410 nM_X 	Run 1; Fc 2-1 corr; Cy 13; CDD-4774; Conc 410 nM_Y 	Run 1; Fc 2-1 corr; Cy 13; CDD-4774; Conc 410 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 13; CDD-4774; Conc 410 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 14; CDD-4774; Conc 1230 nM_X 	Run 1; Fc 2-1 corr; Cy 14; CDD-4774; Conc 1230 nM_Y 	Run 1; Fc 2-1 corr; Cy 14; CDD-4774; Conc 1230 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 14; CDD-4774; Conc 1230 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 15; CDD-4774; Conc 3700 nM_X 	Run 1; Fc 2-1 corr; Cy 15; CDD-4774; Conc 3700 nM_Y 	Run 1; Fc 2-1 corr; Cy 15; CDD-4774; Conc 3700 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 15; CDD-4774; Conc 3700 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 16; CDD-4774; Conc 11110 nM_X 	Run 1; Fc 2-1 corr; Cy 16; CDD-4774; Conc 11110 nM_Y 	Run 1; Fc 2-1 corr; Cy 16; CDD-4774; Conc 11110 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 16; CDD-4774; Conc 11110 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 17; CDD-4774; Conc 33330 nM_X 	Run 1; Fc 2-1 corr; Cy 17; CDD-4774; Conc 33330 nM_Y 	Run 1; Fc 2-1 corr; Cy 17; CDD-4774; Conc 33330 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 17; CDD-4774; Conc 33330 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 18; CDD-4774; Conc 100000 nM_X 	Run 1; Fc 2-1 corr; Cy 18; CDD-4774; Conc 100000 nM_Y 	Run 1; Fc 2-1 corr; Cy 18; CDD-4774; Conc 100000 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 18; CDD-4774; Conc 100000 nM; Fitted_Y 	
-29.2999992370605 	-0.0391999765270157 	-29.2999992370605 	0 	-29.2999992370605 	-0.100399976545305 	-29.2999992370605 	0 	-29.2000007629395 	0.0186995976400794 	-29.2000007629395 	0 	-29.1000003814697 	0.050898718785902 	-29.1000003814697 	0 	-29.1000003814697 	-0.0162012812143075 	-29.1000003814697 	0 	-29 	0.317500014018151 	-29 	0 	-28.8999996185303 	0.27390000638843 	-28.8999996185303 	0 	
-29.1999988555908 	-0.0704999851150205 	-29.1999988555908 	0 	-29.1999988555908 	-0.0799999851224129 	-29.1999988555908 	0 	-29.1000003814697 	0.0751987187904888 	-29.1000003814697 	0 	-29 	0.192900014015322 	-29 	0 	-29 	0.015100014024938 	-29 	0 	-28.8999996185303 	0.324300006395788 	-28.8999996185303 	0 	-28.7999992370605 	0.371399997755361 	-28.7999992370605 	0 	
-29.1000003814697 	-0.11980128120922 	-29.1000003814697 	0 	-29.0999984741211 	-0.0998999997173087 	-29.0999984741211 	0 	-29 	0.11030001402105 	-29 	0 	-28.8999996185303 	0.214500006382877 	-28.8999996185303 	0 	-28.8999996185303 	0.0487000063949381 	-28.8999996185303 	0 	-28.7999992370605 	0.294799997762311 	-28.7999992370605 	0 	-28.6999988555908 	0.322800007314072 	-28.6999988555908 	0 	
-29 	-0.127799985973979 	-29 	0 	-29 	-0.107999985979404 	-29 	0 	-28.9000015258789 	0.00829817355406703 	-28.9000015258789 	0 	-28.8000011444092 	0.230798224518367 	-28.8000011444092 	0 	-28.8000011444092 	0.0645982245259802 	-28.8000011444092 	0 	-28.7000007629395 	0.0965002755401656 	-28.7000007629395 	0 	-28.6000003814697 	0.135900128938374 	-28.6000003814697 	0 	
-28.8999996185303 	-0.0864999936093227 	-28.8999996185303 	0 	-28.8999996185303 	-0.12999999360909 	-28.8999996185303 	0 	-28.8000011444092 	-0.0720017754792934 	-28.8000011444092 	0 	-28.7000007629395 	0.0986002755453228 	-28.7000007629395 	0 	-28.7000007629395 	-0.0496997244554223 	-28.7000007629395 	0 	-28.6000003814697 	-0.114799871058494 	-28.6000003814697 	0 	-28.5 	0.00159999437164515 	-28.5 	0 	
-28.7999992370605 	0.00289999775850447 	-28.7999992370605 	0 	-28.7999992370605 	-0.121200002242404 	-28.7999992370605 	0 	-28.7000007629395 	-0.0952997244603466 	-28.7000007629395 	0 	-28.6000003814697 	0.0330001289403299 	-28.6000003814697 	0 	-28.6000003814697 	-0.102099871059181 	-28.6000003814697 	0 	-28.5 	-0.132300005629077 	-28.5 	0 	-28.3999996185303 	0.000199997666641138 	-28.3999996185303 	0 	
-28.6999988555908 	0.00160000732284971 	-28.6999988555908 	0 	-28.6999988555908 	-0.139699992680107 	-28.6999988555908 	0 	-28.6000003814697 	-0.00769987105741166 	-28.6000003814697 	0 	-28.5 	0.0587999943745672 	-28.5 	0 	-28.5 	-0.062600005629065 	-28.5 	0 	-28.3999996185303 	-0.107900002338283 	-28.3999996185303 	0 	-28.2999992370605 	0.0339999956122483 	-28.2999992370605 	0 	
-28.6000003814697 	0.000700128941389266 	-28.6000003814697 	0 	-28.5999984741211 	-0.107000005176815 	-28.5999984741211 	0 	-28.5 	0.0333999943759409 	-28.5 	0 	-28.3999996185303 	0.0939999976617401 	-28.3999996185303 	0 	-28.3999996185303 	-0.0237000023334986 	-28.3999996185303 	0 	-28.2999992370605 	-0.0670000043828622 	-28.2999992370605 	0 	-28.1999988555908 	0.0375999935858999 	-28.1999988555908 	0 	
-28.5 	-0.00350000562320929 	-28.5 	0 	-28.5 	-0.0645000056247227 	-28.5 	0 	-28.4000015258789 	0.0558996549370931 	-28.4000015258789 	0 	-28.3000011444092 	0.101299936010037 	-28.3000011444092 	0 	-28.3000011444092 	-0.00290006399154663 	-28.3000011444092 	0 	-28.2000007629395 	-0.0402999766083667 	-28.2000007629395 	0 	-28.1000003814697 	0.018900065064372 	-28.1000003814697 	0 	
-28.3999996185303 	0.0126999976710067 	-28.3999996185303 	0 	-28.3999996185303 	-0.043300002333126 	-28.3999996185303 	0 	-28.3000011444092 	0.0430999360032729 	-28.3000011444092 	0 	-28.2000007629395 	0.101000023387314 	-28.2000007629395 	0 	-28.2000007629395 	-0.0138999766058987 	-28.2000007629395 	0 	-28.1000003814697 	-0.0302999349369202 	-28.1000003814697 	0 	-28 	0.0108999960139045 	-28 	0 	
-28.2999992370605 	0.0015999956158339 	-28.2999992370605 	0 	-28.2999992370605 	-0.0408000043898937 	-28.2999992370605 	0 	-28.2000007629395 	0.0293000233868952 	-28.2000007629395 	0 	-28.1000003814697 	0.0993000650632894 	-28.1000003814697 	0 	-28.1000003814697 	-0.0104999349277932 	-28.1000003814697 	0 	-28 	-0.0157000039835111 	-28 	0 	-27.8999996185303 	0.0196999949912424 	-27.8999996185303 	0 	
-28.1999988555908 	-0.00700000640790677 	-28.1999988555908 	0 	-28.1999988555908 	-0.0426000064107939 	-28.1999988555908 	0 	-28.1000003814697 	0.0250000650703441 	-28.1000003814697 	0 	-28 	0.0916999960172689 	-28 	0 	-28 	-0.0183000039760373 	-28 	0 	-27.8999996185303 	-0.0225000050049857 	-27.8999996185303 	0 	-27.7999992370605 	0.0188000054768054 	-27.7999992370605 	0 	
-28.1000003814697 	-0.0194999349259888 	-28.1000003814697 	0 	-28.0999984741211 	-0.0619999945411109 	-28.0999984741211 	0 	-28 	0.0180999960211921 	-28 	0 	-27.8999996185303 	0.0864999949917546 	-27.8999996185303 	0 	-27.8999996185303 	-0.0304000050018658 	-27.8999996185303 	0 	-27.7999992370605 	-0.0169999945137533 	-27.7999992370605 	0 	-27.6999988555908 	0.0130999963221257 	-27.6999988555908 	0 	
-28 	-0.0278000039761537 	-28 	0 	-28 	-0.0705000039815786 	-28 	0 	-27.9000015258789 	0.0211999651946826 	-27.9000015258789 	0 	-27.8000011444092 	0.0788999756841804 	-27.8000011444092 	0 	-27.8000011444092 	-0.0316000243110466 	-27.8000011444092 	0 	-27.7000007629395 	-0.0138000334700337 	-27.7000007629395 	0 	-27.6000003814697 	-0.00739970149879809 	-27.6000003814697 	0 	
-27.8999996185303 	-0.026800004998222 	-27.8999996185303 	0 	-27.8999996185303 	-0.0753000050099217 	-27.8999996185303 	0 	-27.8000011444092 	0.0215999756765086 	-27.8000011444092 	0 	-27.7000007629395 	0.0777999665297102 	-27.7000007629395 	0 	-27.7000007629395 	-0.0252000334658078 	-27.7000007629395 	0 	-27.6000003814697 	-0.0197997014984139 	-27.6000003814697 	0 	-27.5 	-0.0161999927076977 	-27.5 	0 	
-27.7999992370605 	-0.0303999945099349 	-27.7999992370605 	0 	-27.7999992370605 	-0.076099994519609 	-27.7999992370605 	0 	-27.7000007629395 	0.0171999665253679 	-27.7000007629395 	0 	-27.6000003814697 	0.0667002984991996 	-27.6000003814697 	0 	-27.6000003814697 	-0.0392997014932916 	-27.6000003814697 	0 	-27.5 	-0.0279999927006429 	-27.5 	0 	-27.3999996185303 	-0.0101000032373122 	-27.3999996185303 	0 	
-27.6999988555908 	-0.0213000036601443 	-27.6999988555908 	0 	-27.6999988555908 	-0.0664000036776997 	-27.6999988555908 	0 	-27.6000003814697 	0.00600029849738348 	-27.6000003814697 	0 	-27.5 	0.0543000072939321 	-27.5 	0 	-27.5 	-0.0519999926982564 	-27.5 	0 	-27.3999996185303 	-0.0182000032436918 	-27.3999996185303 	0 	-27.2999992370605 	-0.00660000734205823 	-27.2999992370605 	0 	
-27.6000003814697 	-0.0308997014944907 	-27.6000003814697 	0 	-27.5999984741211 	-0.0640999995230231 	-27.5999984741211 	0 	-27.5 	0.00710000730032334 	-27.5 	0 	-27.3999996185303 	0.067299996757356 	-27.3999996185303 	0 	-27.3999996185303 	-0.042300003238779 	-27.3999996185303 	0 	-27.2999992370605 	0.00429999265907099 	-27.2999992370605 	0 	-27.1999988555908 	0.013200005836552 	-27.1999988555908 	0 	
-27.5 	-0.0443999926937977 	-27.5 	0 	-27.5 	-0.0584999927086756 	-27.5 	0 	-27.4000015258789 	0.00949986265186453 	-27.4000015258789 	0 	-27.3000011444092 	0.0820998734416207 	-27.3000011444092 	0 	-27.3000011444092 	-0.025900126544002 	-27.3000011444092 	0 	-27.2000007629395 	0.0128999164371635 	-27.2000007629395 	0 	-27.1000003814697 	0.0194999926316086 	-27.1000003814697 	0 	
-27.3999996185303 	-0.0430000032356475 	-27.3999996185303 	0 	-27.3999996185303 	-0.0641000032483134 	-27.3999996185303 	0 	-27.3000011444092 	0.0149998734486871 	-27.3000011444092 	0 	-27.2000007629395 	0.0813999164383858 	-27.2000007629395 	0 	-27.2000007629395 	-0.0266000835617888 	-27.2000007629395 	0 	-27.1000003814697 	-0.00380000736913644 	-27.1000003814697 	0 	-27 	0.0179000010757591 	-27 	0 	
-27.2999992370605 	-0.03930000733817 	-27.2999992370605 	0 	-27.2999992370605 	-0.0645000073491246 	-27.2999992370605 	0 	-27.2000007629395 	0.0125999164374662 	-27.2000007629395 	0 	-27.1000003814697 	0.0728999926286633 	-27.1000003814697 	0 	-27.1000003814697 	-0.0325000073644333 	-27.1000003814697 	0 	-27 	-0.00769999892509077 	-27 	0 	-26.8999996185303 	0.0160999993531732 	-26.8999996185303 	0 	
-27.1999988555908 	-0.0380999941480695 	-27.1999988555908 	0 	-27.1999988555908 	-0.0644999941578135 	-27.1999988555908 	0 	-27.1000003814697 	0.00789999264088692 	-27.1000003814697 	0 	-27 	0.0762000010727206 	-27 	0 	-27 	-0.030499998923915 	-27 	0 	-26.8999996185303 	-0.00740000064251944 	-26.8999996185303 	0 	-26.7999992370605 	0.016099995606055 	-26.7999992370605 	0 	
-27.1000003814697 	-0.0415000073626288 	-27.1000003814697 	0 	-27.0999984741211 	-0.0657000073697418 	-27.0999984741211 	0 	-27 	0.00930000107473461 	-27 	0 	-26.8999996185303 	0.0813999993551988 	-26.8999996185303 	0 	-26.8999996185303 	-0.0272000006443704 	-26.8999996185303 	0 	-26.7999992370605 	-0.00710000438266434 	-26.7999992370605 	0 	-26.6999988555908 	0.0124999956096872 	-26.6999988555908 	0 	
-27 	-0.0355999989187694 	-27 	0 	-27 	-0.0561999989295145 	-27 	0 	-26.9000015258789 	0.0109999248525128 	-26.9000015258789 	0 	-26.8000011444092 	0.0796999360027257 	-26.8000011444092 	0 	-26.8000011444092 	-0.0266000639821868 	-26.8000011444092 	0 	-26.7000007629395 	-0.0102000043843873 	-26.7000007629395 	0 	-26.6000003814697 	0.00640000712883193 	-26.6000003814697 	0 	
-26.8999996185303 	-0.0335000006380142 	-26.8999996185303 	0 	-26.8999996185303 	-0.0490000006393529 	-26.8999996185303 	0 	-26.8000011444092 	0.00709993601049064 	-26.8000011444092 	0 	-26.7000007629395 	0.0779999956139363 	-26.7000007629395 	0 	-26.7000007629395 	-0.0322000043815933 	-26.7000007629395 	0 	-26.6000003814697 	-0.0135999928679666 	-26.6000003814697 	0 	-26.5 	0.00139999797102064 	-26.5 	0 	
-26.7999992370605 	-0.0311000043802778 	-26.7999992370605 	0 	-26.7999992370605 	-0.042900004387775 	-26.7999992370605 	0 	-26.7000007629395 	0.000899995618965477 	-26.7000007629395 	0 	-26.6000003814697 	0.0780000071317772 	-26.6000003814697 	0 	-26.6000003814697 	-0.0395999928659876 	-26.6000003814697 	0 	-26.5 	-0.0116000020207139 	-26.5 	0 	-26.3999996185303 	-0.00399999966612086 	-26.3999996185303 	0 	
-26.6999988555908 	-0.0351000043810927 	-26.6999988555908 	0 	-26.6999988555908 	-0.0436000043846434 	-26.6999988555908 	0 	-26.6000003814697 	-0.00619999287300743 	-26.6000003814697 	0 	-26.5 	0.0812999979680171 	-26.5 	0 	-26.5 	-0.0421000020214706 	-26.5 	0 	-26.3999996185303 	-0.0124999996696715 	-26.3999996185303 	0 	-26.2999992370605 	-0.0099000000191154 	-26.2999992370605 	0 	
-26.6000003814697 	-0.0397999928609352 	-26.6000003814697 	0 	-26.5999984741211 	-0.0449999928678153 	-26.5999984741211 	0 	-26.5 	-0.00420000202575466 	-26.5 	0 	-26.3999996185303 	0.0822000003317953 	-26.3999996185303 	0 	-26.3999996185303 	-0.0432999996628496 	-26.3999996185303 	0 	-26.2999992370605 	-0.0142000000123517 	-26.2999992370605 	0 	-26.1999988555908 	-0.0155000020677107 	-26.1999988555908 	0 	
-26.5 	-0.041900002026523 	-26.5 	0 	-26.5 	-0.0447000020285486 	-26.5 	0 	-26.4000015258789 	-0.00630003691185266 	-26.4000015258789 	0 	-26.3000011444092 	0.0825999776352546 	-26.3000011444092 	0 	-26.3000011444092 	-0.0493000223650597 	-26.3000011444092 	0 	-26.2000007629395 	-0.0170000616635662 	-26.2000007629395 	0 	-26.1000003814697 	-0.0141000393268769 	-26.1000003814697 	0 	
-26.3999996185303 	-0.0456999996531522 	-26.3999996185303 	0 	-26.3999996185303 	-0.0450999996683095 	-26.3999996185303 	0 	-26.3000011444092 	-0.00390002235508291 	-26.3000011444092 	0 	-26.2000007629395 	0.0838999383340706 	-26.2000007629395 	0 	-26.2000007629395 	-0.045700061658863 	-26.2000007629395 	0 	-26.1000003814697 	-0.022400039328204 	-26.1000003814697 	0 	-26 	-0.0210000017468701 	-26 	0 	
-26.2999992370605 	-0.0468000000109896 	-26.2999992370605 	0 	-26.2999992370605 	-0.0487000000066473 	-26.2999992370605 	0 	-26.2000007629395 	-0.000900061662832741 	-26.2000007629395 	0 	-26.1000003814697 	0.0839999606687343 	-26.1000003814697 	0 	-26.1000003814697 	-0.0450000393248047 	-26.1000003814697 	0 	-26 	-0.0270000017335406 	-26 	0 	-25.8999996185303 	-0.0269000020707608 	-25.8999996185303 	0 	
-26.1999988555908 	-0.0478000020593754 	-26.1999988555908 	0 	-26.1999988555908 	-0.0459000020637177 	-26.1999988555908 	0 	-26.1000003814697 	-0.00160003932251129 	-26.1000003814697 	0 	-26 	0.0835999982591602 	-26 	0 	-26 	-0.0493000017377199 	-26 	0 	-25.8999996185303 	-0.0292000020708656 	-25.8999996185303 	0 	-25.7999992370605 	-0.0299999963317532 	-25.7999992370605 	0 	
-26.1000003814697 	-0.049700039322488 	-26.1000003814697 	0 	-26.0999984741211 	-0.0459000020709937 	-26.0999984741211 	0 	-26 	-0.00420000174199231 	-26 	0 	-25.8999996185303 	0.0795999979236512 	-25.8999996185303 	0 	-25.8999996185303 	-0.0569000020695967 	-25.8999996185303 	0 	-25.7999992370605 	-0.030099996329227 	-25.7999992370605 	0 	-25.6999988555908 	-0.0318999973678729 	-25.6999988555908 	0 	
-26 	-0.049700001734891 	-26 	0 	-26 	-0.0446000017400365 	-26 	0 	-25.9000015258789 	-0.00809997972100973 	-25.9000015258789 	0 	-25.8000011444092 	0.078799958966556 	-25.8000011444092 	0 	-25.8000011444092 	-0.0562000410282053 	-25.8000011444092 	0 	-25.7000007629395 	-0.0330000718749943 	-25.7000007629395 	0 	-25.6000003814697 	-0.0371000071827439 	-25.6000003814697 	0 	
-25.8999996185303 	-0.0507000020734267 	-25.8999996185303 	0 	-25.8999996185303 	-0.0439000020778622 	-25.8999996185303 	0 	-25.8000011444092 	-0.00890004102984676 	-25.8000011444092 	0 	-25.7000007629395 	0.0780999281269033 	-25.7000007629395 	0 	-25.7000007629395 	-0.0517000718682539 	-25.7000007629395 	0 	-25.6000003814697 	-0.0383000071888091 	-25.6000003814697 	0 	-25.5 	-0.0382999997527804 	-25.5 	0 	
-25.7999992370605 	-0.0486999963250128 	-25.7999992370605 	0 	-25.7999992370605 	-0.0397999963315669 	-25.7999992370605 	0 	-25.7000007629395 	-0.00700007186969742 	-25.7000007629395 	0 	-25.6000003814697 	0.0761999928145087 	-25.6000003814697 	0 	-25.6000003814697 	-0.0531000071860035 	-25.6000003814697 	0 	-25.5 	-0.041599999742175 	-25.5 	0 	-25.3999996185303 	-0.0508999977027997 	-25.3999996185303 	0 	
-25.6999988555908 	-0.0464999973555678 	-25.6999988555908 	0 	-25.6999988555908 	-0.0337999973708065 	-25.6999988555908 	0 	-25.6000003814697 	-0.00890000718209194 	-25.6000003814697 	0 	-25.5 	0.0769000002474058 	-25.5 	0 	-25.5 	-0.0536999997420935 	-25.5 	0 	-25.3999996185303 	-0.052999997700681 	-25.3999996185303 	0 	-25.2999992370605 	-0.0597000021007261 	-25.2999992370605 	0 	
-25.6000003814697 	-0.0474000071772025 	-25.6000003814697 	0 	-25.5999984741211 	-0.0325999997367035 	-25.5999984741211 	0 	-25.5 	-0.00529999974969542 	-25.5 	0 	-25.3999996185303 	0.0736000023025554 	-25.3999996185303 	0 	-25.3999996185303 	-0.0655999976952444 	-25.3999996185303 	0 	-25.2999992370605 	-0.060200002102647 	-25.2999992370605 	0 	-25.1999988555908 	-0.0670000000754953 	-25.1999988555908 	0 	
