Run 1; Fc 2-1; Cy 9; DT+BCLXL; Conc 8 40 200 1000 5000 nM_X 	Run 1; Fc 2-1; Cy 9; DT+BCLXL; Conc 8 40 200 1000 5000 nM_Y 	Run 1; Fc 2-1; Cy 9; DT+BCLXL; Conc 8 40 200 1000 5000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 9; DT+BCLXL; Conc 8 40 200 1000 5000 nM; Fitted_Y 	
-60 	2.25 	-60 	0 	
-59.8999977111816 	2.2421875 	-59.8999977111816 	0 	
-59.7999992370605 	2.22265625 	-59.7999992370605 	0 	
-59.6999969482422 	2.2265625 	-59.6999969482422 	0 	
-59.5999984741211 	2.22265625 	-59.5999984741211 	0 	
-59.5 	2.21875 	-59.5 	0 	
-59.3999977111816 	2.2109375 	-59.3999977111816 	0 	
-59.2999992370605 	2.2109375 	-59.2999992370605 	0 	
-59.1999969482422 	2.19921875 	-59.1999969482422 	0 	
-59.0999984741211 	2.19921875 	-59.0999984741211 	0 	
-59 	2.1953125 	-59 	0 	
-58.8999977111816 	2.1796875 	-58.8999977111816 	0 	
-58.7999992370605 	2.1796875 	-58.7999992370605 	0 	
-58.6999969482422 	2.1640625 	-58.6999969482422 	0 	
-58.5999984741211 	2.16796875 	-58.5999984741211 	0 	
-58.5 	2.15234375 	-58.5 	0 	
-58.3999977111816 	2.1484375 	-58.3999977111816 	0 	
-58.2999992370605 	2.1484375 	-58.2999992370605 	0 	
-58.1999969482422 	2.1484375 	-58.1999969482422 	0 	
-58.0999984741211 	2.12890625 	-58.0999984741211 	0 	
-58 	2.12109375 	-58 	0 	
-57.8999977111816 	2.12109375 	-57.8999977111816 	0 	
-57.7999992370605 	2.12109375 	-57.7999992370605 	0 	
-57.6999969482422 	2.109375 	-57.6999969482422 	0 	
-57.5999984741211 	2.109375 	-57.5999984741211 	0 	
-57.5 	2.109375 	-57.5 	0 	
-57.3999977111816 	2.109375 	-57.3999977111816 	0 	
-57.2999992370605 	2.1015625 	-57.2999992370605 	0 	
-57.1999969482422 	2.1015625 	-57.1999969482422 	0 	
-57.0999984741211 	2.08984375 	-57.0999984741211 	0 	
-57 	2.08984375 	-57 	0 	
-56.8999977111816 	2.078125 	-56.8999977111816 	0 	
-56.7999992370605 	2.07421875 	-56.7999992370605 	0 	
-56.6999969482422 	2.0703125 	-56.6999969482422 	0 	
-56.5999984741211 	2.0625 	-56.5999984741211 	0 	
-56.5 	2.0625 	-56.5 	0 	
-56.3999977111816 	2.0546875 	-56.3999977111816 	0 	
-56.2999992370605 	2.046875 	-56.2999992370605 	0 	
-56.1999969482422 	2.05078125 	-56.1999969482422 	0 	
-56.0999984741211 	2.05078125 	-56.0999984741211 	0 	
-56 	2.06640625 	-56 	0 	
-55.8999977111816 	2.05859375 	-55.8999977111816 	0 	
-55.7999992370605 	2.06640625 	-55.7999992370605 	0 	
-55.6999969482422 	2.0703125 	-55.6999969482422 	0 	
-55.5999984741211 	2.0625 	-55.5999984741211 	0 	
-55.5 	2.0625 	-55.5 	0 	
-55.3999977111816 	2.0625 	-55.3999977111816 	0 	
-55.2999992370605 	2.06640625 	-55.2999992370605 	0 	
-55.1999969482422 	2.06640625 	-55.1999969482422 	0 	
-55.0999984741211 	2.05078125 	-55.0999984741211 	0 	
-55 	2.05078125 	-55 	0 	
-54.8999977111816 	2.05078125 	-54.8999977111816 	0 	
-54.7999992370605 	2.05078125 	-54.7999992370605 	0 	
-54.6999969482422 	2.0546875 	-54.6999969482422 	0 	
-54.5999984741211 	2.05859375 	-54.5999984741211 	0 	
-54.5 	2.05859375 	-54.5 	0 	
-54.3999977111816 	2.046875 	-54.3999977111816 	0 	
-54.2999992370605 	2.08203125 	-54.2999992370605 	0 	
-54.1999969482422 	2.08203125 	-54.1999969482422 	0 	
-54.0999984741211 	2.08203125 	-54.0999984741211 	0 	
-54 	2.08984375 	-54 	0 	
-53.8999977111816 	2.1015625 	-53.8999977111816 	0 	
-53.7999992370605 	2.12109375 	-53.7999992370605 	0 	
-53.6999969482422 	2.14453125 	-53.6999969482422 	0 	
-53.5999984741211 	2.1875 	-53.5999984741211 	0 	
-53.5 	2.24609375 	-53.5 	0 	
-53.3999977111816 	2.3515625 	-53.3999977111816 	0 	
-53.2999992370605 	2.33984375 	-53.2999992370605 	0 	
-53.1999969482422 	2.234375 	-53.1999969482422 	0 	
-53.0999984741211 	1.890625 	-53.0999984741211 	0 	
-53 	1.62890625 	-53 	0 	
-52.8999977111816 	1.44921875 	-52.8999977111816 	0 	
-52.7999992370605 	1.359375 	-52.7999992370605 	0 	
-52.6999969482422 	1.3046875 	-52.6999969482422 	0 	
-52.5999984741211 	1.39453125 	-52.5999984741211 	0 	
-52.5 	1.51953125 	-52.5 	0 	
-52.3999977111816 	1.578125 	-52.3999977111816 	0 	
-52.2999992370605 	1.609375 	-52.2999992370605 	0 	
-52.1999969482422 	1.6796875 	-52.1999969482422 	0 	
-52.0999984741211 	1.73828125 	-52.0999984741211 	0 	
-52 	1.7734375 	-52 	0 	
-51.8999977111816 	1.80078125 	-51.8999977111816 	0 	
-51.7999992370605 	1.8515625 	-51.7999992370605 	0 	
-51.6999969482422 	1.90234375 	-51.6999969482422 	0 	
-51.5999984741211 	1.921875 	-51.5999984741211 	0 	
-51.5 	1.94140625 	-51.5 	0 	
-51.3999977111816 	1.94140625 	-51.3999977111816 	0 	
-51.2999992370605 	1.94140625 	-51.2999992370605 	0 	
-51.1999969482422 	1.953125 	-51.1999969482422 	0 	
-51.0999984741211 	1.94140625 	-51.0999984741211 	0 	
-51 	1.94140625 	-51 	0 	
-50.8999977111816 	1.94140625 	-50.8999977111816 	0 	
-50.7999992370605 	1.9296875 	-50.7999992370605 	0 	
-50.6999969482422 	1.921875 	-50.6999969482422 	0 	
-50.5999984741211 	1.91015625 	-50.5999984741211 	0 	
-50.5 	1.91015625 	-50.5 	0 	
-50.3999977111816 	1.91015625 	-50.3999977111816 	0 	
-50.2999992370605 	1.89453125 	-50.2999992370605 	0 	
-50.1999969482422 	1.8984375 	-50.1999969482422 	0 	
-50.0999984741211 	1.89453125 	-50.0999984741211 	0 	
-50 	1.89453125 	-50 	0 	
-49.8999977111816 	1.88671875 	-49.8999977111816 	0 	
-49.7999992370605 	1.8828125 	-49.7999992370605 	0 	
-49.6999969482422 	1.8828125 	-49.6999969482422 	0 	
-49.5999984741211 	1.8828125 	-49.5999984741211 	0 	
-49.5 	1.8828125 	-49.5 	0 	
-49.3999977111816 	1.8828125 	-49.3999977111816 	0 	
-49.2999992370605 	1.87109375 	-49.2999992370605 	0 	
-49.1999969482422 	1.86328125 	-49.1999969482422 	0 	
-49.0999984741211 	1.86328125 	-49.0999984741211 	0 	
-49 	1.8515625 	-49 	0 	
-48.8999977111816 	1.8515625 	-48.8999977111816 	0 	
-48.7999992370605 	1.84375 	-48.7999992370605 	0 	
-48.6999969482422 	1.83203125 	-48.6999969482422 	0 	
-48.5999984741211 	1.83203125 	-48.5999984741211 	0 	
-48.5 	1.8203125 	-48.5 	0 	
-48.3999977111816 	1.8203125 	-48.3999977111816 	0 	
-48.2999992370605 	1.8125 	-48.2999992370605 	0 	
-48.1999969482422 	1.80859375 	-48.1999969482422 	0 	
-48.0999984741211 	1.80859375 	-48.0999984741211 	0 	
-48 	1.80859375 	-48 	0 	
