Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM_X 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM_Y 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM; Fitted_Y 	
-60 	1.10546875 	-60 	0 	
-59.9000015258789 	1.1015625 	-59.9000015258789 	0 	
-59.8000030517578 	1.1015625 	-59.8000030517578 	0 	
-59.7000007629395 	1.1015625 	-59.7000007629395 	0 	
-59.6000022888184 	1.08984375 	-59.6000022888184 	0 	
-59.5 	1.08984375 	-59.5 	0 	
-59.4000015258789 	1.08984375 	-59.4000015258789 	0 	
-59.3000030517578 	1.09375 	-59.3000030517578 	0 	
-59.2000007629395 	1.08203125 	-59.2000007629395 	0 	
-59.1000022888184 	1.08203125 	-59.1000022888184 	0 	
-59 	1.08203125 	-59 	0 	
-58.9000015258789 	1.07421875 	-58.9000015258789 	0 	
-58.8000030517578 	1.08203125 	-58.8000030517578 	0 	
-58.7000007629395 	1.07421875 	-58.7000007629395 	0 	
-58.6000022888184 	1.07421875 	-58.6000022888184 	0 	
-58.5 	1.07421875 	-58.5 	0 	
-58.4000015258789 	1.06640625 	-58.4000015258789 	0 	
-58.3000030517578 	1.0703125 	-58.3000030517578 	0 	
-58.2000007629395 	1.0625 	-58.2000007629395 	0 	
-58.1000022888184 	1.0625 	-58.1000022888184 	0 	
-58 	1.0625 	-58 	0 	
-57.9000015258789 	1.04296875 	-57.9000015258789 	0 	
-57.8000030517578 	1.04296875 	-57.8000030517578 	0 	
-57.7000007629395 	1.0390625 	-57.7000007629395 	0 	
-57.6000022888184 	1.04296875 	-57.6000022888184 	0 	
-57.5 	1.04296875 	-57.5 	0 	
-57.4000015258789 	1.03515625 	-57.4000015258789 	0 	
-57.3000030517578 	1.0234375 	-57.3000030517578 	0 	
-57.2000007629395 	1.0234375 	-57.2000007629395 	0 	
-57.1000022888184 	1.02734375 	-57.1000022888184 	0 	
-57 	1.01953125 	-57 	0 	
-56.9000015258789 	1.01171875 	-56.9000015258789 	0 	
-56.8000030517578 	1.01171875 	-56.8000030517578 	0 	
-56.7000007629395 	1.01171875 	-56.7000007629395 	0 	
-56.6000022888184 	1.01171875 	-56.6000022888184 	0 	
-56.5 	1 	-56.5 	0 	
-56.4000015258789 	0.9921875 	-56.4000015258789 	0 	
-56.3000030517578 	0.9921875 	-56.3000030517578 	0 	
-56.2000007629395 	0.9921875 	-56.2000007629395 	0 	
-56.1000022888184 	0.98046875 	-56.1000022888184 	0 	
-56 	0.98828125 	-56 	0 	
-55.9000015258789 	0.9921875 	-55.9000015258789 	0 	
-55.8000030517578 	1.0078125 	-55.8000030517578 	0 	
-55.7000007629395 	1.0078125 	-55.7000007629395 	0 	
-55.6000022888184 	1.01171875 	-55.6000022888184 	0 	
-55.5 	1.00390625 	-55.5 	0 	
-55.4000015258789 	1 	-55.4000015258789 	0 	
-55.3000030517578 	1.0078125 	-55.3000030517578 	0 	
-55.2000007629395 	1.01171875 	-55.2000007629395 	0 	
-55.1000022888184 	1.01171875 	-55.1000022888184 	0 	
-55 	1.01171875 	-55 	0 	
-54.9000015258789 	1.01171875 	-54.9000015258789 	0 	
-54.8000030517578 	1.015625 	-54.8000030517578 	0 	
-54.7000007629395 	1.015625 	-54.7000007629395 	0 	
-54.6000022888184 	1.00390625 	-54.6000022888184 	0 	
-54.5 	1.0078125 	-54.5 	0 	
-54.4000015258789 	1 	-54.4000015258789 	0 	
-54.3000030517578 	1.0078125 	-54.3000030517578 	0 	
-54.2000007629395 	0.99609375 	-54.2000007629395 	0 	
-54.1000022888184 	1.03125 	-54.1000022888184 	0 	
-54 	1.03125 	-54 	0 	
-53.9000015258789 	1.03125 	-53.9000015258789 	0 	
-53.8000030517578 	1.04296875 	-53.8000030517578 	0 	
-53.7000007629395 	1.05078125 	-53.7000007629395 	0 	
-53.6000022888184 	1.08203125 	-53.6000022888184 	0 	
-53.5 	1.09765625 	-53.5 	0 	
-53.4000015258789 	1.11328125 	-53.4000015258789 	0 	
-53.3000030517578 	1.125 	-53.3000030517578 	0 	
-53.2000007629395 	1.1328125 	-53.2000007629395 	0 	
-53.1000022888184 	1.09375 	-53.1000022888184 	0 	
-53 	1.00390625 	-53 	0 	
-52.9000015258789 	0.84765625 	-52.9000015258789 	0 	
-52.8000030517578 	0.609375 	-52.8000030517578 	0 	
-52.7000007629395 	0.48828125 	-52.7000007629395 	0 	
-52.6000022888184 	0.3671875 	-52.6000022888184 	0 	
-52.5 	0.390625 	-52.5 	0 	
-52.4000015258789 	0.5 	-52.4000015258789 	0 	
-52.3000030517578 	0.609375 	-52.3000030517578 	0 	
-52.2000007629395 	0.64453125 	-52.2000007629395 	0 	
