Run 1; Fc 4-1 corr; Cy 5; Furosemide; Conc 1.693509 nM_X 	Run 1; Fc 4-1 corr; Cy 5; Furosemide; Conc 1.693509 nM_Y 	Run 1; Fc 4-1 corr; Cy 6; Furosemide; Conc 5.080526 nM_X 	Run 1; Fc 4-1 corr; Cy 6; Furosemide; Conc 5.080526 nM_Y 	Run 1; Fc 4-1 corr; Cy 7; Furosemide; Conc 15.24158 nM_X 	Run 1; Fc 4-1 corr; Cy 7; Furosemide; Conc 15.24158 nM_Y 	Run 1; Fc 4-1 corr; Cy 8; Furosemide; Conc 45.72474 nM_X 	Run 1; Fc 4-1 corr; Cy 8; Furosemide; Conc 45.72474 nM_Y 	Run 1; Fc 4-1 corr; Cy 9; Furosemide; Conc 137.1742 nM_X 	Run 1; Fc 4-1 corr; Cy 9; Furosemide; Conc 137.1742 nM_Y 	Run 1; Fc 4-1 corr; Cy 10; Furosemide; Conc 411.5226 nM_X 	Run 1; Fc 4-1 corr; Cy 10; Furosemide; Conc 411.5226 nM_Y 	Run 1; Fc 4-1 corr; Cy 11; Furosemide; Conc 1234.568 nM_X 	Run 1; Fc 4-1 corr; Cy 11; Furosemide; Conc 1234.568 nM_Y 	Run 1; Fc 4-1 corr; Cy 12; Furosemide; Conc 3703.704 nM_X 	Run 1; Fc 4-1 corr; Cy 12; Furosemide; Conc 3703.704 nM_Y 	Run 1; Fc 4-1 corr; Cy 13; Furosemide; Conc 11111.11 nM_X 	Run 1; Fc 4-1 corr; Cy 13; Furosemide; Conc 11111.11 nM_Y 	Run 1; Fc 4-1 corr; Cy 14; Furosemide; Conc 33333.33 nM_X 	Run 1; Fc 4-1 corr; Cy 14; Furosemide; Conc 33333.33 nM_Y 	Run 1; Fc 4-1 corr; Cy 15; Furosemide; Conc 100000 nM; Excluded_X 	Run 1; Fc 4-1 corr; Cy 15; Furosemide; Conc 100000 nM; Excluded_Y 	Run 1; Fc 4-1 corr; Cy 17; Furosemide; Conc 1.693509 nM_X 	Run 1; Fc 4-1 corr; Cy 17; Furosemide; Conc 1.693509 nM_Y 	Run 1; Fc 4-1 corr; Cy 18; Furosemide; Conc 5.080526 nM_X 	Run 1; Fc 4-1 corr; Cy 18; Furosemide; Conc 5.080526 nM_Y 	Run 1; Fc 4-1 corr; Cy 19; Furosemide; Conc 15.24158 nM_X 	Run 1; Fc 4-1 corr; Cy 19; Furosemide; Conc 15.24158 nM_Y 	Run 1; Fc 4-1 corr; Cy 20; Furosemide; Conc 45.72474 nM_X 	Run 1; Fc 4-1 corr; Cy 20; Furosemide; Conc 45.72474 nM_Y 	Run 1; Fc 4-1 corr; Cy 21; Furosemide; Conc 137.1742 nM_X 	Run 1; Fc 4-1 corr; Cy 21; Furosemide; Conc 137.1742 nM_Y 	Run 1; Fc 4-1 corr; Cy 22; Furosemide; Conc 411.5226 nM_X 	Run 1; Fc 4-1 corr; Cy 22; Furosemide; Conc 411.5226 nM_Y 	Run 1; Fc 4-1 corr; Cy 23; Furosemide; Conc 1234.568 nM_X 	Run 1; Fc 4-1 corr; Cy 23; Furosemide; Conc 1234.568 nM_Y 	Run 1; Fc 4-1 corr; Cy 24; Furosemide; Conc 3703.704 nM_X 	Run 1; Fc 4-1 corr; Cy 24; Furosemide; Conc 3703.704 nM_Y 	Run 1; Fc 4-1 corr; Cy 25; Furosemide; Conc 11111.11 nM_X 	Run 1; Fc 4-1 corr; Cy 25; Furosemide; Conc 11111.11 nM_Y 	Run 1; Fc 4-1 corr; Cy 26; Furosemide; Conc 33333.33 nM_X 	Run 1; Fc 4-1 corr; Cy 26; Furosemide; Conc 33333.33 nM_Y 	Run 1; Fc 4-1 corr; Cy 27; Furosemide; Conc 100000 nM; Excluded_X 	Run 1; Fc 4-1 corr; Cy 27; Furosemide; Conc 100000 nM; Excluded_Y 	
-29.6000003814697 	0.698000057403988 	-29.6000003814697 	0.60290005740535 	-29.5 	0.68870001162577 	-29.3999996185303 	0.505450581738842 	-29.3999996185303 	0.76775058174826 	-29.2999992370605 	0.720550505255233 	-29.2000007629395 	0.791149971199047 	-29.2000007629395 	0.797249971197743 	-29.1000003814697 	0.855749971953628 	-29.1000003814697 	0.89554997196683 	-29 	0.757800036619301 	-29.7000007629395 	0.337100054362963 	-29.7000007629395 	0.558200054358167 	-29.7000007629395 	0.398400054356898 	-29.5 	0.698200011633162 	-29.5 	0.475900011631893 	-29.3999996185303 	0.777950581737969 	-29.2999992370605 	0.658450505252404 	-29.2000007629395 	0.792249971193087 	-29.2000007629395 	0.808249971196346 	-29.1000003814697 	0.91934997196222 	-29 	0.809900036620093 	
-29.5 	0.570300011626387 	-29.5 	0.474200011631183 	-29.3999996185303 	0.607950581739715 	-29.2999992370605 	0.412850505257666 	-29.2999992370605 	0.623050505266292 	-29.1999988555908 	0.563750924869964 	-29.1000003814697 	0.597949971961498 	-29.1000003814697 	0.675249971965968 	-29 	0.66750003661582 	-29 	0.703000036621233 	-28.8999996185303 	0.629650026516174 	-29.6000003814697 	0.242500057407597 	-29.6000003814697 	0.402300057408866 	-29.6000003814697 	0.283600057409785 	-29.3999996185303 	0.5755505817433 	-29.3999996185303 	0.394150581741997 	-29.2999992370605 	0.636050505250751 	-29.1999988555908 	0.54095092487114 	-29.1000003814697 	0.672349971959193 	-29.1000003814697 	0.654249971965328 	-29 	0.726800036616623 	-28.8999996185303 	0.666150026510877 	
-29.3999996185303 	0.512050581732183 	-29.3999996185303 	0.392650581736234 	-29.2999992370605 	0.503150505253871 	-29.1999988555908 	0.333750924874039 	-29.1999988555908 	0.558450924880162 	-29.0999984741211 	0.462750687212974 	-29 	0.493100036612304 	-29 	0.562000036617974 	-28.8999996185303 	0.550850026505941 	-28.8999996185303 	0.602050026514917 	-28.7999992370605 	0.496999875264009 	-29.5 	0.184700011632231 	-29.5 	0.333900011639344 	-29.5 	0.231400011631195 	-29.2999992370605 	0.480150505252823 	-29.2999992370605 	0.319950505254383 	-29.1999988555908 	0.535150924872141 	-29.0999984741211 	0.419850687219878 	-29 	0.587900036625797 	-29 	0.566600036618183 	-28.8999996185303 	0.607250026507245 	-28.7999992370605 	0.555099875258747 	
-29.3000011444092 	0.446149551578856 	-29.3000011444092 	0.32464955157775 	-29.2000007629395 	0.449549971199303 	-29.1000003814697 	0.29434997196222 	-29.1000003814697 	0.495449971975177 	-29 	0.398200036623166 	-28.9000015258789 	0.423949549673125 	-28.9000015258789 	0.491749549670203 	-28.8000011444092 	0.438199875257851 	-28.8000011444092 	0.498299875260273 	-28.7000007629395 	0.383449985885818 	-29.4000015258789 	0.167849389647017 	-29.4000015258789 	0.314749389646749 	-29.4000015258789 	0.191149389647762 	-29.2000007629395 	0.420849971196731 	-29.2000007629395 	0.27154997119942 	-29.1000003814697 	0.49314997196052 	-29 	0.345000036621059 	-28.9000015258789 	0.509049549669726 	-28.9000015258789 	0.485549549674033 	-28.8000011444092 	0.519699875258084 	-28.7000007629395 	0.455549985883408 	
-29.2000007629395 	0.422549971197441 	-29.2000007629395 	0.307449971194728 	-29.1000003814697 	0.43394997195719 	-29 	0.27330003662064 	-29 	0.454500036634272 	-28.8999996185303 	0.348450026511273 	-28.8000011444092 	0.361199875253078 	-28.8000011444092 	0.433899875264615 	-28.7000007629395 	0.333449985882908 	-28.7000007629395 	0.427449985887506 	-28.6000003814697 	0.297799987798498 	-29.3000011444092 	0.166449551579717 	-29.3000011444092 	0.307249551580753 	-29.3000011444092 	0.189149551581067 	-29.1000003814697 	0.403949971958355 	-29.1000003814697 	0.253749971961952 	-29 	0.448100036621327 	-28.8999996185303 	0.29875002650806 	-28.8000011444092 	0.457299875255558 	-28.8000011444092 	0.419699875252263 	-28.7000007629395 	0.428949985878717 	-28.6000003814697 	0.371599987796799 	
-29.1000003814697 	0.40614997195371 	-29.1000003814697 	0.300849971958087 	-29 	0.393800036617904 	-28.8999996185303 	0.241650026509888 	-28.8999996185303 	0.423850026520086 	-28.7999992370605 	0.289599875257409 	-28.7000007629395 	0.285249985885457 	-28.7000007629395 	0.358049985887192 	-28.6000003814697 	0.249699987791246 	-28.6000003814697 	0.354999987801421 	-28.5 	0.235349969676463 	-29.2000007629395 	0.166149971191771 	-29.2000007629395 	0.296449971196125 	-29.2000007629395 	0.20454997120396 	-29 	0.381600036620512 	-29 	0.220200036623282 	-28.8999996185303 	0.401450026511156 	-28.7999992370605 	0.242899875258445 	-28.7000007629395 	0.380249985886621 	-28.7000007629395 	0.334449985886749 	-28.6000003814697 	0.353699987790606 	-28.5 	0.303049969676067 	
-29 	0.383600036613643 	-29 	0.27950003661681 	-28.8999996185303 	0.34535002650955 	-28.7999992370605 	0.196199875259481 	-28.7999992370605 	0.376399875269271 	-28.6999988555908 	0.223449866673036 	-28.6000003814697 	0.226099987790803 	-28.6000003814697 	0.298499987795367 	-28.5 	0.188049969670828 	-28.5 	0.295049969681713 	-28.3999996185303 	0.17414996700245 	-29.1000003814697 	0.162149971954932 	-29.1000003814697 	0.291749971955142 	-29.1000003814697 	0.20954997195804 	-28.8999996185303 	0.353550026506127 	-28.8999996185303 	0.179950026511506 	-28.7999992370605 	0.349999875252252 	-28.6999988555908 	0.183349866681965 	-28.6000003814697 	0.318199987792468 	-28.6000003814697 	0.262799987795006 	-28.5 	0.291449969670794 	-28.3999996185303 	0.226149967005767 	
-28.8999996185303 	0.325650026512449 	-28.8999996185303 	0.252450026506267 	-28.7999992370605 	0.269399875258387 	-28.6999988555908 	0.137449866677343 	-28.6999988555908 	0.313849866681267 	-28.5999984741211 	0.160599987786554 	-28.5 	0.181249969675264 	-28.5 	0.250149969673657 	-28.3999996185303 	0.128949966994696 	-28.3999996185303 	0.246049967012368 	-28.2999992370605 	0.133950042538345 	-29 	0.155000036626006 	-29 	0.279800036616507 	-29 	0.190500036616868 	-28.7999992370605 	0.284399875257805 	-28.7999992370605 	0.134699875263323 	-28.6999988555908 	0.289749866671627 	-28.5999984741211 	0.099499987794843 	-28.5 	0.269749969673285 	-28.5 	0.172949969666661 	-28.3999996185303 	0.197849967000366 	-28.2999992370605 	0.166050042535062 	
-28.8000011444092 	0.263599875252112 	-28.8000011444092 	0.184899875261181 	-28.7000007629395 	0.186249985883478 	-28.6000003814697 	0.0879999877943192 	-28.6000003814697 	0.237499987801129 	-28.5 	0.117449969671725 	-28.4000015258789 	0.133250086204498 	-28.4000015258789 	0.182050086215895 	-28.3000011444092 	0.0474500425334554 	-28.3000011444092 	0.20385004254058 	-28.2000007629395 	0.102199974637188 	-28.9000015258789 	0.131049549672753 	-28.9000015258789 	0.260449549678015 	-28.9000015258789 	0.173749549678178 	-28.7000007629395 	0.216049985887366 	-28.7000007629395 	0.0783499858807772 	-28.6000003814697 	0.201899987790966 	-28.5 	0.0265499696761253 	-28.4000015258789 	0.183750086209329 	-28.4000015258789 	0.0954500862135319 	-28.3000011444092 	0.131750042535714 	-28.2000007629395 	0.0860999746364541 	
-28.7000007629395 	0.193549985880964 	-28.7000007629395 	0.118549985883874 	-28.6000003814697 	0.121699987786997 	-28.5 	0.0539499696751591 	-28.5 	0.177549969674146 	-28.3999996185303 	0.043249966998701 	-28.3000011444092 	0.0669500425356091 	-28.3000011444092 	0.121650042536203 	-28.2000007629395 	-0.0175000253730104 	-28.2000007629395 	0.136999974638456 	-28.1000003814697 	0.0511499937056215 	-28.8000011444092 	0.0993998752601328 	-28.8000011444092 	0.225199875261751 	-28.8000011444092 	0.118099875260668 	-28.6000003814697 	0.14749998779007 	-28.6000003814697 	-0.000700012213201262 	-28.5 	0.133049969670537 	-28.3999996185303 	-0.0378500329970848 	-28.3000011444092 	0.118750042536703 	-28.3000011444092 	0.0315500425349455 	-28.2000007629395 	0.0778999746326008 	-28.1000003814697 	0.0304499937046785 	
