Run 1; Fc 2-1 corr; Cy 4; JQ1; Conc 8 40 200 1000 5000 nM_X 	Run 1; Fc 2-1 corr; Cy 4; JQ1; Conc 8 40 200 1000 5000 nM_Y 	Run 1; Fc 2-1 corr; Cy 4; JQ1; Conc 8 40 200 1000 5000 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 4; JQ1; Conc 8 40 200 1000 5000 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 5; JQ1; Conc 8 40 200 1000 5000 nM_X 	Run 1; Fc 2-1 corr; Cy 5; JQ1; Conc 8 40 200 1000 5000 nM_Y 	Run 1; Fc 2-1 corr; Cy 5; JQ1; Conc 8 40 200 1000 5000 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 5; JQ1; Conc 8 40 200 1000 5000 nM; Fitted_Y 	
-30.8999996185303 	-1.5454999389658 	-30.8999996185303 	0 	-30.8999996185303 	-1.05489993896481 	-30.8999996185303 	0 	
-30.7999992370605 	-1.43169998436133 	-30.7999992370605 	0 	-30.7999992370605 	-0.980099984357366 	-30.7999992370605 	0 	
-30.6999988555908 	-1.4388999935145 	-30.6999988555908 	0 	-30.6999988555908 	-0.999399993514089 	-30.6999988555908 	0 	
-30.6000003814697 	-1.41870008430487 	-30.6000003814697 	0 	-30.6000003814697 	-0.969200084306067 	-30.6000003814697 	0 	
-30.5 	-1.38349997978003 	-30.5 	0 	-30.5 	-0.929699979780708 	-30.5 	0 	
-30.3999996185303 	-1.42320010948242 	-30.3999996185303 	0 	-30.3999996185303 	-0.979300109484029 	-30.3999996185303 	0 	
-30.2999992370605 	-1.40430011253557 	-30.2999992370605 	0 	-30.2999992370605 	-0.965300112533441 	-30.2999992370605 	0 	
-30.1999988555908 	-1.42549994201545 	-30.1999988555908 	0 	-30.1999988555908 	-0.98219994201645 	-30.1999988555908 	0 	
-30.1000003814697 	-1.47269998474439 	-30.1000003814697 	0 	-30.1000003814697 	-1.02169998473983 	-30.1000003814697 	0 	
-30 	-1.51150008811965 	-30 	0 	-30 	-1.05660008811901 	-30 	0 	
-29.8999996185303 	-1.53739990196482 	-29.8999996185303 	0 	-29.8999996185303 	-1.08289990196135 	-29.8999996185303 	0 	
-29.7999992370605 	-1.5412999992368 	-29.7999992370605 	0 	-29.7999992370605 	-1.08189999923707 	-29.7999992370605 	0 	
-29.6999988555908 	-1.53339994850103 	-29.6999988555908 	0 	-29.6999988555908 	-1.07139994850149 	-29.6999988555908 	0 	
-29.6000003814697 	-1.50019992027228 	-29.6000003814697 	0 	-29.6000003814697 	-1.03399992027335 	-29.6000003814697 	0 	
-29.5 	-1.44789992904771 	-29.5 	0 	-29.5 	-0.969799929043802 	-29.5 	0 	
-29.3999996185303 	-1.40239993553041 	-29.3999996185303 	0 	-29.3999996185303 	-0.915499935530534 	-29.3999996185303 	0 	
-29.2999992370605 	-1.33140003357039 	-29.2999992370605 	0 	-29.2999992370605 	-0.830000033569377 	-29.2999992370605 	0 	
-29.1999988555908 	-1.25359994697283 	-29.1999988555908 	0 	-29.1999988555908 	-0.747299946975545 	-29.1999988555908 	0 	
-29.1000003814697 	-1.17720007324169 	-29.1000003814697 	0 	-29.1000003814697 	-0.684900073239987 	-29.1000003814697 	0 	
-29 	-1.09160009155312 	-29 	0 	-29 	-0.603300091552228 	-29 	0 	
-28.8999996185303 	-1.08820009383999 	-28.8999996185303 	0 	-28.8999996185303 	-0.587200093839783 	-28.8999996185303 	0 	
-28.7999992370605 	-1.16390002556 	-28.7999992370605 	0 	-28.7999992370605 	-0.66610002555899 	-28.7999992370605 	0 	
-28.6999988555908 	-1.30499990158205 	-28.6999988555908 	0 	-28.6999988555908 	-0.820599901580863 	-28.6999988555908 	0 	
-28.6000003814697 	-1.44440011405823 	-28.6000003814697 	0 	-28.6000003814697 	-0.943500114059134 	-28.6000003814697 	0 	
-28.5 	-1.5083000474915 	-28.5 	0 	-28.5 	-1.00500004749119 	-28.5 	0 	
-28.3999996185303 	-1.51519995689159 	-28.3999996185303 	0 	-28.3999996185303 	-1.00829995689128 	-28.3999996185303 	0 	
-28.2999992370605 	-1.53329996299726 	-28.2999992370605 	0 	-28.2999992370605 	-1.05129996299729 	-28.2999992370605 	0 	
-28.1999988555908 	-1.55979999408737 	-28.1999988555908 	0 	-28.1999988555908 	-1.08409999408468 	-28.1999988555908 	0 	
-28.1000003814697 	-1.57280003604683 	-28.1000003814697 	0 	-28.1000003814697 	-1.09800003604687 	-28.1000003814697 	0 	
-28 	-1.58539998321794 	-28 	0 	-28 	-1.11279998321334 	-28 	0 	
-27.8999996185303 	-1.56739998359626 	-27.8999996185303 	0 	-27.8999996185303 	-1.09849998359641 	-27.8999996185303 	0 	
-27.7999992370605 	-1.54139999046311 	-27.7999992370605 	0 	-27.7999992370605 	-1.0850999904651 	-27.7999992370605 	0 	
-27.6999988555908 	-1.51029998989179 	-27.6999988555908 	0 	-27.6999988555908 	-1.06349998989026 	-27.6999988555908 	0 	
-27.6000003814697 	-1.48330002441435 	-27.6000003814697 	0 	-27.6000003814697 	-1.05410002441567 	-27.6000003814697 	0 	
-27.5 	-1.47969995727544 	-27.5 	0 	-27.5 	-1.06269995727416 	-27.5 	0 	
-27.3999996185303 	-1.48430005912815 	-27.3999996185303 	0 	-27.3999996185303 	-1.07330005912445 	-27.3999996185303 	0 	
-27.2999992370605 	-1.48670003299776 	-27.2999992370605 	0 	-27.2999992370605 	-1.09230003299672 	-27.2999992370605 	0 	
-27.1999988555908 	-1.48269967136366 	-27.1999988555908 	0 	-27.1999988555908 	-1.09709967136223 	-27.1999988555908 	0 	
-27.1000003814697 	-1.47760033760278 	-27.1000003814697 	0 	-27.1000003814697 	-1.09960033760217 	-27.1000003814697 	0 	
-27 	-1.46950001125515 	-27 	0 	-27 	-1.09250001125474 	-27 	0 	
-26.8999996185303 	-1.45119998874725 	-26.8999996185303 	0 	-26.8999996185303 	-1.07669998874917 	-26.8999996185303 	0 	
-26.7999992370605 	-1.43890001868931 	-26.7999992370605 	0 	-26.7999992370605 	-1.06200001869001 	-26.7999992370605 	0 	
-26.7000007629395 	-1.42649998664638 	-26.7000007629395 	0 	-26.7000007629395 	-1.05399998664871 	-26.7000007629395 	0 	
-26.5999984741211 	-1.41590000133874 	-26.5999984741211 	0 	-26.5999984741211 	-1.04940000133502 	-26.5999984741211 	0 	
-26.5 	-1.40410005398007 	-26.5 	0 	-26.5 	-1.03770005397746 	-26.5 	0 	
-26.3999996185303 	-1.39470002059898 	-26.3999996185303 	0 	-26.3999996185303 	-1.0286000205997 	-26.3999996185303 	0 	
-26.2999992370605 	-1.38390005226029 	-26.2999992370605 	0 	-26.2999992370605 	-1.01760005226242 	-26.2999992370605 	0 	
-26.2000007629395 	-1.36869994678636 	-26.2000007629395 	0 	-26.2000007629395 	-0.998199946785462 	-26.2000007629395 	0 	
-26.0999984741211 	-1.3619999435432 	-26.0999984741211 	0 	-26.0999984741211 	-0.987399943540368 	-26.0999984741211 	0 	
-26 	-1.35000004902031 	-26 	0 	-26 	-0.97540004901748 	-26 	0 	
-25.8999996185303 	-1.34060002002661 	-25.8999996185303 	0 	-25.8999996185303 	-0.965000020023581 	-25.8999996185303 	0 	
-25.7999992370605 	-1.34289996356893 	-25.7999992370605 	0 	-25.7999992370605 	-0.964599963568617 	-25.7999992370605 	0 	
-25.7000007629395 	-1.36929994525781 	-25.7000007629395 	0 	-25.7000007629395 	-0.984899945258803 	-25.7000007629395 	0 	
-25.5999984741211 	-1.38570000515028 	-25.5999984741211 	0 	-25.5999984741211 	-1.0089000051521 	-25.5999984741211 	0 	
-25.5 	-1.37740005665182 	-25.5 	0 	-25.5 	-1.01360005664901 	-25.5 	0 	
-25.3999996185303 	-1.34339995918344 	-25.3999996185303 	0 	-25.3999996185303 	-1.00099995918208 	-25.3999996185303 	0 	
-25.2999992370605 	-1.31299995994414 	-25.2999992370605 	0 	-25.2999992370605 	-0.984399959947041 	-25.2999992370605 	0 	
-25.2000007629395 	-1.29930005855567 	-25.2000007629395 	0 	-25.2000007629395 	-0.985000058553851 	-25.2000007629395 	0 	
-25.0999984741211 	-1.29690001525887 	-25.0999984741211 	0 	-25.0999984741211 	-0.992300015255751 	-25.0999984741211 	0 	
-25 	-1.29269998550444 	-25 	0 	-25 	-0.988899985506578 	-25 	0 	
-24.8999996185303 	-1.29089995136383 	-24.8999996185303 	0 	-24.8999996185303 	-0.985599951363838 	-24.8999996185303 	0 	
-24.7999992370605 	-1.28469995479463 	-24.7999992370605 	0 	-24.7999992370605 	-0.980899954796769 	-24.7999992370605 	0 	
-24.7000007629395 	-1.27030002937317 	-24.7000007629395 	0 	-24.7000007629395 	-0.974300029374717 	-24.7000007629395 	0 	
-24.5999984741211 	-1.26329995288688 	-24.5999984741211 	0 	-24.5999984741211 	-0.969899952884589 	-24.5999984741211 	0 	
-24.5 	-1.25809997596662 	-24.5 	0 	-24.5 	-0.965099975965131 	-24.5 	0 	
-24.3999996185303 	-1.24930000648601 	-24.3999996185303 	0 	-24.3999996185303 	-0.96570000648353 	-24.3999996185303 	0 	
-24.2999992370605 	-1.24360005359995 	-24.2999992370605 	0 	-24.2999992370605 	-0.962800053595856 	-24.2999992370605 	0 	
-24.2000007629395 	-1.23750005397596 	-24.2000007629395 	0 	-24.2000007629395 	-0.958000053975411 	-24.2000007629395 	0 	
-24.0999984741211 	-1.23250000763073 	-24.0999984741211 	0 	-24.0999984741211 	-0.955000007630588 	-24.0999984741211 	0 	
-24 	-1.22990004863823 	-24 	0 	-24 	-0.955300048633944 	-24 	0 	
-23.8999996185303 	-1.22220005512281 	-23.8999996185303 	0 	-23.8999996185303 	-0.950600055122777 	-23.8999996185303 	0 	
-23.7999992370605 	-1.21520004501508 	-23.7999992370605 	0 	-23.7999992370605 	-0.944800045013835 	-23.7999992370605 	0 	
-23.7000007629395 	-1.20689997463342 	-23.7000007629395 	0 	-23.7000007629395 	-0.939999974631064 	-23.7000007629395 	0 	
-23.5999984741211 	-1.20020005359765 	-23.5999984741211 	0 	-23.5999984741211 	-0.935600053595408 	-23.5999984741211 	0 	
-23.5 	-1.19510000724767 	-23.5 	0 	-23.5 	-0.933400007244927 	-23.5 	0 	
-23.3999996185303 	-1.18869997005459 	-23.3999996185303 	0 	-23.3999996185303 	-0.92959997005164 	-23.3999996185303 	0 	
-23.2999992370605 	-1.17939994640255 	-23.2999992370605 	0 	-23.2999992370605 	-0.925299946404266 	-23.2999992370605 	0 	
-23.2000007629395 	-1.17110003891139 	-23.2000007629395 	0 	-23.2000007629395 	-0.920200038908661 	-23.2000007629395 	0 	
-23.0999984741211 	-1.16279994277647 	-23.0999984741211 	0 	-23.0999984741211 	-0.917799942777492 	-23.0999984741211 	0 	
-23 	-1.15689995231878 	-23 	0 	-23 	-0.91469995231455 	-23 	0 	
-22.8999996185303 	-1.15019997234413 	-22.8999996185303 	0 	-22.8999996185303 	-0.91079997234192 	-22.8999996185303 	0 	
-22.7999992370605 	-1.14559996967364 	-22.7999992370605 	0 	-22.7999992370605 	-0.911099969674979 	-22.7999992370605 	0 	
-22.7000007629395 	-1.1400000530266 	-22.7000007629395 	0 	-22.7000007629395 	-0.909200053021777 	-22.7000007629395 	0 	
-22.5999984741211 	-1.1332000202201 	-22.5999984741211 	0 	-22.5999984741211 	-0.905600020214479 	-22.5999984741211 	0 	
-22.5 	-1.12790005073475 	-22.5 	0 	-22.5 	-0.903100050734793 	-22.5 	0 	
-22.3999996185303 	-1.12260003757183 	-22.3999996185303 	0 	-22.3999996185303 	-0.89830003757379 	-22.3999996185303 	0 	
-22.2999992370605 	-1.11709995193451 	-22.2999992370605 	0 	-22.2999992370605 	-0.893999951935257 	-22.2999992370605 	0 	
-22.2000007629395 	-1.11109996890809 	-22.2000007629395 	0 	-22.2000007629395 	-0.89039996891006 	-22.2000007629395 	0 	
-22.0999984741211 	-1.10549998588249 	-22.0999984741211 	0 	-22.0999984741211 	-0.887199985882035 	-22.0999984741211 	0 	
-22 	-1.09860003910217 	-22 	0 	-22 	-0.884200039101415 	-22 	0 	
-21.8999996185303 	-1.09149995651023 	-21.8999996185303 	0 	-21.8999996185303 	-0.879999956508982 	-21.8999996185303 	0 	
-21.7999992370605 	-1.0845000595109 	-21.7999992370605 	0 	-21.7999992370605 	-0.876100059507735 	-21.7999992370605 	0 	
-21.7000007629395 	-1.07710001316082 	-21.7000007629395 	0 	-21.7000007629395 	-0.871900013160484 	-21.7000007629395 	0 	
-21.5999984741211 	-1.07080001659415 	-21.5999984741211 	0 	-21.5999984741211 	-0.868000016595033 	-21.5999984741211 	0 	
-21.5 	-1.06440002002637 	-21.5 	0 	-21.5 	-0.86230002002776 	-21.5 	0 	
-21.3999996185303 	-1.05719995403342 	-21.3999996185303 	0 	-21.3999996185303 	-0.857499954032392 	-21.3999996185303 	0 	
-21.2999992370605 	-1.05099997100842 	-21.2999992370605 	0 	-21.2999992370605 	-0.8532999710078 	-21.2999992370605 	0 	
-21.2000007629395 	-1.04580000457645 	-21.2000007629395 	0 	-21.2000007629395 	-0.849000004578556 	-21.2000007629395 	0 	
