Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM_X 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM_Y 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM; Fitted_Y 	
-31 	0.502700002107304 	-31 	0 	
-30.8999996185303 	0.407800012690132 	-30.8999996185303 	0 	
-30.7999992370605 	0.33619999208895 	-30.7999992370605 	0 	
-30.7000007629395 	0.309900184161961 	-30.7000007629395 	0 	
-30.6000003814697 	0.315599994566583 	-30.6000003814697 	0 	
-30.5 	0.345199998904718 	-30.5 	0 	
-30.3999996185303 	0.294399980259186 	-30.3999996185303 	0 	
-30.2999992370605 	0.309700022895413 	-30.2999992370605 	0 	
-30.2000007629395 	0.259901022916893 	-30.2000007629395 	0 	
-30.1000003814697 	0.18280002384563 	-30.1000003814697 	0 	
-30 	0.153199973014125 	-30 	0 	
-29.8999996185303 	0.0986999946617289 	-29.8999996185303 	0 	
-29.7999992370605 	0.0496000092607574 	-29.7999992370605 	0 	
-29.7000007629395 	0.00250155229878146 	-29.7000007629395 	0 	
-29.6000003814697 	-0.0682999477357953 	-29.6000003814697 	0 	
-29.5 	-0.11339995135495 	-29.5 	0 	
-29.3999996185303 	-0.0829000244120834 	-29.3999996185303 	0 	
-29.2999992370605 	0.0460000169769046 	-29.2999992370605 	0 	
-29.2000007629395 	0.375596219833824 	-29.2000007629395 	0 	
-29.1000003814697 	0.804400018794695 	-29.1000003814697 	0 	
-29 	1.04899999409099 	-29 	0 	
-28.8999996185303 	0.836100004104082 	-28.8999996185303 	0 	
-28.7999992370605 	0.658999993705947 	-28.7999992370605 	0 	
-28.7000007629395 	0.508598738269939 	-28.7000007629395 	0 	
-28.6000003814697 	0.412099999048223 	-28.6000003814697 	0 	
-28.5 	0.350300001533469 	-28.5 	0 	
-28.3999996185303 	0.370400000065274 	-28.3999996185303 	0 	
-28.2999992370605 	0.369700000141165 	-28.2999992370605 	0 	
-28.2000007629395 	0.34279981823056 	-28.2000007629395 	0 	
-28.1000003814697 	0.302000000541739 	-28.1000003814697 	0 	
-28 	0.278300000238232 	-28 	0 	
-27.8999996185303 	0.250600000908889 	-27.8999996185303 	0 	
-27.7999992370605 	0.234600000039791 	-27.7999992370605 	0 	
-27.7000007629395 	0.201700438534317 	-27.7000007629395 	0 	
-27.6000003814697 	0.191400000534486 	-27.6000003814697 	0 	
-27.5 	0.211900000213063 	-27.5 	0 	
-27.3999996185303 	0.225799998486764 	-27.3999996185303 	0 	
-27.2999992370605 	0.221599999116734 	-27.2999992370605 	0 	
-27.2000007629395 	0.221900000236928 	-27.2000007629395 	0 	
-27.1000003814697 	0.221599818782124 	-27.1000003814697 	0 	
-27 	0.220500000134052 	-27 	0 	
-26.8999996185303 	0.225099999581289 	-26.8999996185303 	0 	
-26.7999992370605 	0.225500000589818 	-26.7999992370605 	0 	
-26.7000007629395 	0.224900000386697 	-26.7000007629395 	0 	
-26.6000003814697 	0.23159987571853 	-26.6000003814697 	0 	
-26.5 	0.227999999471649 	-26.5 	0 	
-26.3999996185303 	0.236899998388253 	-26.3999996185303 	0 	
-26.2999992370605 	0.2404000010647 	-26.2999992370605 	0 	
-26.2000007629395 	0.244000000689994 	-26.2000007629395 	0 	
-26.1000003814697 	0.251099825218262 	-26.1000003814697 	0 	
-26 	0.257000003315625 	-26 	0 	
-25.8999996185303 	0.265099999203812 	-25.8999996185303 	0 	
-25.7999992370605 	0.274899997115426 	-25.7999992370605 	0 	
-25.7000007629395 	0.278299997080467 	-25.7000007629395 	0 	
-25.6000003814697 	0.278299896468525 	-25.6000003814697 	0 	
-25.5 	0.281800002449017 	-25.5 	0 	
-25.3999996185303 	0.277499998737767 	-25.3999996185303 	0 	
-25.2999992370605 	0.272499997416162 	-25.2999992370605 	0 	
-25.2000007629395 	0.267399998447218 	-25.2000007629395 	0 	
-25.1000003814697 	0.25770000826742 	-25.1000003814697 	0 	
-25 	0.24629999944591 	-25 	0 	
-24.8999996185303 	0.242600002806284 	-24.8999996185303 	0 	
-24.7999992370605 	0.244699998074793 	-24.7999992370605 	0 	
-24.7000007629395 	0.239999996389088 	-24.7000007629395 	0 	
-24.6000003814697 	0.240799957435229 	-24.6000003814697 	0 	
-24.5 	0.238799999446201 	-24.5 	0 	
-24.3999996185303 	0.23639999947045 	-24.3999996185303 	0 	
-24.2999992370605 	0.232399998130859 	-24.2999992370605 	0 	
-24.2000007629395 	0.228299996451824 	-24.2000007629395 	0 	
-24.1000003814697 	0.227100042859092 	-24.1000003814697 	0 	
-24 	0.228900002228329 	-24 	0 	
-23.8999996185303 	0.22829999885289 	-23.8999996185303 	0 	
-23.7999992370605 	0.226400001913134 	-23.7999992370605 	0 	
-23.7000007629395 	0.222599997527141 	-23.7000007629395 	0 	
-23.6000003814697 	0.217700044609956 	-23.6000003814697 	0 	
-23.5 	0.217000002281566 	-23.5 	0 	
-23.3999996185303 	0.212100000600913 	-23.3999996185303 	0 	
-23.2999992370605 	0.21090000365075 	-23.2999992370605 	0 	
-23.2000007629395 	0.206300002646458 	-23.2000007629395 	0 	
-23.1000003814697 	0.204300015524495 	-23.1000003814697 	0 	
-23 	0.200799998601724 	-23 	0 	
-22.8999996185303 	0.199100001977058 	-22.8999996185303 	0 	
-22.7999992370605 	0.198799999277981 	-22.7999992370605 	0 	
-22.7000007629395 	0.195899996921071 	-22.7000007629395 	0 	
-22.6000003814697 	0.19400003112969 	-22.6000003814697 	0 	
-22.5 	0.193900001329894 	-22.5 	0 	
-22.3999996185303 	0.193299997263239 	-22.3999996185303 	0 	
-22.2999992370605 	0.192500001328881 	-22.2999992370605 	0 	
-22.2000007629395 	0.188199996940966 	-22.2000007629395 	0 	
-22.1000003814697 	0.186400013204548 	-22.1000003814697 	0 	
-22 	0.185599997967074 	-22 	0 	
-21.8999996185303 	0.183599999327271 	-21.8999996185303 	0 	
-21.7999992370605 	0.181599998322781 	-21.7999992370605 	0 	
-21.7000007629395 	0.177299999348179 	-21.7000007629395 	0 	
-21.6000003814697 	0.176699985124287 	-21.6000003814697 	0 	
-21.5 	0.175699999686913 	-21.5 	0 	
-21.3999996185303 	0.174600001715589 	-21.3999996185303 	0 	
-21.2999992370605 	0.170400001392409 	-21.2999992370605 	0 	
-21.2000007629395 	0.168499999708729 	-21.2000007629395 	0 	
-21.1000003814697 	0.166900044765498 	-21.1000003814697 	0 	
-21 	0.16429999905813 	-21 	0 	
-20.8999996185303 	0.162400000423077 	-20.8999996185303 	0 	
-20.7999992370605 	0.161099998389545 	-20.7999992370605 	0 	
-20.7000007629395 	0.160100001790852 	-20.7000007629395 	0 	
-20.6000003814697 	0.159300016355701 	-20.6000003814697 	0 	
-20.5 	0.157599999765807 	-20.5 	0 	
-20.3999996185303 	0.156799998752831 	-20.3999996185303 	0 	
-20.2999992370605 	0.155500000451866 	-20.2999992370605 	0 	
-20.2000007629395 	0.154000001813984 	-20.2000007629395 	0 	
-20.1000003814697 	0.151900022472546 	-20.1000003814697 	0 	
-20 	0.151099999791768 	-20 	0 	
-19.8999996185303 	0.150000001827721 	-19.8999996185303 	0 	
-19.7999992370605 	0.149000001154491 	-19.7999992370605 	0 	
-19.7000007629395 	0.146899998791923 	-19.7000007629395 	0 	
-19.6000003814697 	0.145500017082668 	-19.6000003814697 	0 	
-19.5 	0.144400000841415 	-19.5 	0 	
-19.3999996185303 	0.143100000168488 	-19.3999996185303 	0 	
-19.2999992370605 	0.141500001183886 	-19.2999992370605 	0 	
-19.2000007629395 	0.140099999152881 	-19.2000007629395 	0 	
-19.1000003814697 	0.138200037945353 	-19.1000003814697 	0 	
-19 	0.137400000698108 	-19 	0 	
-18.8999996185303 	0.13720000036119 	-18.8999996185303 	0 	
-18.7999992370605 	0.136199999695236 	-18.7999992370605 	0 	
-18.7000007629395 	0.136300000711344 	-18.7000007629395 	0 	
-18.6000003814697 	0.133300035602588 	-18.6000003814697 	0 	
-18.5 	0.132899999880465 	-18.5 	0 	
-18.3999996185303 	0.131700000732963 	-18.3999996185303 	0 	
