Run 1; Fc 2-1; Cy 7; MZ-1; Conc 2.29 nM_X 	Run 1; Fc 2-1; Cy 7; MZ-1; Conc 2.29 nM_Y 	Run 1; Fc 2-1; Cy 8; MZ-1; Conc 6.86 nM_X 	Run 1; Fc 2-1; Cy 8; MZ-1; Conc 6.86 nM_Y 	Run 1; Fc 2-1; Cy 9; MZ-1; Conc 20.6 nM_X 	Run 1; Fc 2-1; Cy 9; MZ-1; Conc 20.6 nM_Y 	Run 1; Fc 2-1; Cy 10; MZ-1; Conc 61.7 nM_X 	Run 1; Fc 2-1; Cy 10; MZ-1; Conc 61.7 nM_Y 	Run 1; Fc 2-1; Cy 11; MZ-1; Conc 185 nM_X 	Run 1; Fc 2-1; Cy 11; MZ-1; Conc 185 nM_Y 	Run 1; Fc 2-1; Cy 12; MZ-1; Conc 556 nM_X 	Run 1; Fc 2-1; Cy 12; MZ-1; Conc 556 nM_Y 	Run 1; Fc 2-1; Cy 13; MZ-1; Conc 1667 nM_X 	Run 1; Fc 2-1; Cy 13; MZ-1; Conc 1667 nM_Y 	Run 1; Fc 2-1; Cy 14; MZ-1; Conc 5000 nM_X 	Run 1; Fc 2-1; Cy 14; MZ-1; Conc 5000 nM_Y 	Run 1; Fc 2-1; Cy 16; MZ-1; Conc 2.29 nM_X 	Run 1; Fc 2-1; Cy 16; MZ-1; Conc 2.29 nM_Y 	Run 1; Fc 2-1; Cy 17; MZ-1; Conc 6.86 nM_X 	Run 1; Fc 2-1; Cy 17; MZ-1; Conc 6.86 nM_Y 	Run 1; Fc 2-1; Cy 18; MZ-1; Conc 20.6 nM_X 	Run 1; Fc 2-1; Cy 18; MZ-1; Conc 20.6 nM_Y 	Run 1; Fc 2-1; Cy 19; MZ-1; Conc 61.7 nM_X 	Run 1; Fc 2-1; Cy 19; MZ-1; Conc 61.7 nM_Y 	Run 1; Fc 2-1; Cy 20; MZ-1; Conc 185 nM_X 	Run 1; Fc 2-1; Cy 20; MZ-1; Conc 185 nM_Y 	Run 1; Fc 2-1; Cy 21; MZ-1; Conc 556 nM_X 	Run 1; Fc 2-1; Cy 21; MZ-1; Conc 556 nM_Y 	Run 1; Fc 2-1; Cy 22; MZ-1; Conc 1667 nM_X 	Run 1; Fc 2-1; Cy 22; MZ-1; Conc 1667 nM_Y 	Run 1; Fc 2-1; Cy 23; MZ-1; Conc 5000 nM_X 	Run 1; Fc 2-1; Cy 23; MZ-1; Conc 5000 nM_Y 	
-57.1000022888184 	0.0253921151161194 	-57.2000007629395 	-0.095703125 	-57.2000007629395 	-0.033203125 	-57.2000007629395 	-0.107421875 	-57.2000007629395 	0.005859375 	-57.2000007629395 	0.216796875 	-57.2000007629395 	0.037109375 	-57.2000007629395 	0.041015625 	-57.1000022888184 	-0.0761703848838806 	-57.2000007629395 	-0.021484375 	-57.2000007629395 	-0.205078125 	-57.2000007629395 	-0.111328125 	-57.1000022888184 	0.0957046151161194 	-57.2000007629395 	-0.068359375 	-57.1000022888184 	-0.0253891348838806 	-57.2000007629395 	0.080078125 	
-57 	-0.013671875 	-57.0999984741211 	-0.111328125 	-57.0999984741211 	-0.037109375 	-57.0999984741211 	-0.181640625 	-57.0999984741211 	-0.001953125 	-57.0999984741211 	0.064453125 	-57.0999984741211 	-0.068359375 	-57.0999984741211 	-0.052734375 	-57 	-0.056640625 	-57.1000022888184 	0.00586086511611938 	-57.1000022888184 	-0.232420384883881 	-57.0999984741211 	-0.052734375 	-57 	0.060546875 	-57.0999984741211 	-0.208984375 	-57 	-0.005859375 	-57.0999984741211 	0.033203125 	
-56.9000015258789 	0.00195357203483582 	-57 	-0.111328125 	-57 	-0.009765625 	-57 	-0.138671875 	-57 	-0.005859375 	-57 	0.056640625 	-57 	-0.087890625 	-57 	-0.037109375 	-56.9000015258789 	-0.0410151779651642 	-57 	0.060546875 	-57 	-0.189453125 	-57 	-0.013671875 	-56.9000015258789 	-0.00585892796516418 	-57 	-0.166015625 	-56.9000015258789 	-0.0214839279651642 	-57 	0.060546875 	
-56.7999992370605 	-0.00390625 	-56.8999977111816 	-0.103515625 	-56.8999977111816 	-0.044921875 	-56.8999977111816 	-0.138671875 	-56.8999977111816 	0.025390625 	-56.8999977111816 	0.041015625 	-56.8999977111816 	-0.095703125 	-56.8999977111816 	-0.041015625 	-56.7999992370605 	-0.0234375 	-56.9000015258789 	0.0527348220348358 	-56.9000015258789 	-0.181640177965164 	-56.8999977111816 	-0.044921875 	-56.7999992370605 	-0.02734375 	-56.8999977111816 	-0.177734375 	-56.7999992370605 	-0.02734375 	-56.8999977111816 	0.044921875 	
-56.7000007629395 	-0.021484375 	-56.7999992370605 	-0.1015625 	-56.7999992370605 	-0.0625 	-56.7999992370605 	-0.1328125 	-56.7999992370605 	0.0234375 	-56.7999992370605 	0.03515625 	-56.7999992370605 	-0.0859375 	-56.7999992370605 	-0.046875 	-56.7000007629395 	-0.052734375 	-56.8000030517578 	0.0624997615814209 	-56.8000030517578 	-0.156250238418579 	-56.7999992370605 	-0.06640625 	-56.7000007629395 	-0.029296875 	-56.7999992370605 	-0.16796875 	-56.7000007629395 	-0.048828125 	-56.7999992370605 	0.05859375 	
-56.6000022888184 	-0.0195316076278687 	-56.7000007629395 	-0.111328125 	-56.7000007629395 	-0.060546875 	-56.7000007629395 	-0.146484375 	-56.7000007629395 	-0.021484375 	-56.7000007629395 	0.013671875 	-56.7000007629395 	-0.083984375 	-56.7000007629395 	-0.060546875 	-56.6000022888184 	-0.0546878576278687 	-56.7000007629395 	0.037109375 	-56.7000007629395 	-0.146484375 	-56.7000007629395 	-0.087890625 	-56.6000022888184 	-0.0234378576278687 	-56.7000007629395 	-0.197265625 	-56.6000022888184 	-0.0351566076278687 	-56.7000007629395 	0.033203125 	
-56.5 	-0.005859375 	-56.5999984741211 	-0.09765625 	-56.5999984741211 	-0.05078125 	-56.5999984741211 	-0.125 	-56.5999984741211 	-0.01953125 	-56.5999984741211 	0.0234375 	-56.5999984741211 	-0.0625 	-56.5999984741211 	-0.05078125 	-56.5 	-0.029296875 	-56.6000022888184 	0.0546871423721313 	-56.6000022888184 	-0.148437857627869 	-56.5999984741211 	-0.0546875 	-56.5 	-0.021484375 	-56.5999984741211 	-0.19140625 	-56.5 	-0.025390625 	-56.5999984741211 	0.02734375 	
-56.4000015258789 	-0.0195313096046448 	-56.5 	-0.107421875 	-56.5 	-0.044921875 	-56.5 	-0.099609375 	-56.5 	-0.033203125 	-56.5 	0.029296875 	-56.5 	-0.060546875 	-56.5 	-0.033203125 	-56.4000015258789 	-0.0273438096046448 	-56.5 	0.056640625 	-56.5 	-0.154296875 	-56.5 	-0.052734375 	-56.4000015258789 	-0.0273438096046448 	-56.5 	-0.185546875 	-56.4000015258789 	-0.0195313096046448 	-56.5 	0.037109375 	
-56.2999992370605 	-0.01171875 	-56.3999977111816 	-0.09375 	-56.3999977111816 	-0.046875 	-56.3999977111816 	-0.08984375 	-56.3999977111816 	-0.03125 	-56.3999977111816 	0.01953125 	-56.3999977111816 	-0.0546875 	-56.3999977111816 	-0.03125 	-56.2999992370605 	-0.02734375 	-56.4000015258789 	0.0468749403953552 	-56.4000015258789 	-0.144531309604645 	-56.3999977111816 	-0.046875 	-56.2999992370605 	-0.03515625 	-56.3999977111816 	-0.1875 	-56.2999992370605 	0 	-56.3999977111816 	0.0234375 	
-56.2000007629395 	-0.017578125 	-56.2999992370605 	-0.08203125 	-56.2999992370605 	-0.0390625 	-56.2999992370605 	-0.08203125 	-56.2999992370605 	-0.0234375 	-56.2999992370605 	0.015625 	-56.2999992370605 	-0.05078125 	-56.2999992370605 	-0.0234375 	-56.2000007629395 	-0.017578125 	-56.3000030517578 	0.0390623509883881 	-56.3000030517578 	-0.132812649011612 	-56.2999992370605 	-0.0390625 	-56.2000007629395 	-0.029296875 	-56.2999992370605 	-0.17578125 	-56.2000007629395 	0.005859375 	-56.2999992370605 	0.02734375 	
