Run 1; Fc 2-1 corr; Cy 61; Nb-G8; Conc 0.14 nM_X 	Run 1; Fc 2-1 corr; Cy 61; Nb-G8; Conc 0.14 nM_Y 	Run 1; Fc 2-1 corr; Cy 61; Nb-G8; Conc 0.14 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 61; Nb-G8; Conc 0.14 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 62; Nb-G8; Conc 0.41 nM_X 	Run 1; Fc 2-1 corr; Cy 62; Nb-G8; Conc 0.41 nM_Y 	Run 1; Fc 2-1 corr; Cy 62; Nb-G8; Conc 0.41 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 62; Nb-G8; Conc 0.41 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 63; Nb-G8; Conc 1.23 nM_X 	Run 1; Fc 2-1 corr; Cy 63; Nb-G8; Conc 1.23 nM_Y 	Run 1; Fc 2-1 corr; Cy 63; Nb-G8; Conc 1.23 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 63; Nb-G8; Conc 1.23 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 64; Nb-G8; Conc 3.7 nM_X 	Run 1; Fc 2-1 corr; Cy 64; Nb-G8; Conc 3.7 nM_Y 	Run 1; Fc 2-1 corr; Cy 64; Nb-G8; Conc 3.7 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 64; Nb-G8; Conc 3.7 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 65; Nb-G8; Conc 11.11 nM_X 	Run 1; Fc 2-1 corr; Cy 65; Nb-G8; Conc 11.11 nM_Y 	Run 1; Fc 2-1 corr; Cy 65; Nb-G8; Conc 11.11 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 65; Nb-G8; Conc 11.11 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 66; Nb-G8; Conc 33.33 nM_X 	Run 1; Fc 2-1 corr; Cy 66; Nb-G8; Conc 33.33 nM_Y 	Run 1; Fc 2-1 corr; Cy 66; Nb-G8; Conc 33.33 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 66; Nb-G8; Conc 33.33 nM; Fitted_Y 	Run 1; Fc 2-1 corr; Cy 67; Nb-G8; Conc 100 nM_X 	Run 1; Fc 2-1 corr; Cy 67; Nb-G8; Conc 100 nM_Y 	Run 1; Fc 2-1 corr; Cy 67; Nb-G8; Conc 100 nM; Fitted_X 	Run 1; Fc 2-1 corr; Cy 67; Nb-G8; Conc 100 nM; Fitted_Y 	
-29.2999992370605 	0.124800000143296 	-29.2999992370605 	0 	-29.2999992370605 	0.0469000001394306 	-29.2999992370605 	0 	-29.2000007629395 	0.0488998798900866 	-29.2000007629395 	0 	-29 	0.198799996949674 	-29 	0 	-29.1000003814697 	0.206600197256193 	-29.1000003814697 	0 	-29 	0.533199996949406 	-29 	0 	-28.7999992370605 	1.2377999991877 	-28.7999992370605 	0 	
-29.1999988555908 	0.0814999990980141 	-29.1999988555908 	0 	-29.1999988555908 	0.0170999990950804 	-29.1999988555908 	0 	-29.1000003814697 	-0.0175998027261812 	-29.1000003814697 	0 	-28.8999996185303 	0.332300001144176 	-28.8999996185303 	0 	-29 	0.283899996938999 	-29 	0 	-28.8999996185303 	0.60990000115271 	-28.8999996185303 	0 	-28.6999988555908 	1.20149999939895 	-28.6999988555908 	0 	
-29.0999984741211 	0.0173999886537786 	-29.0999984741211 	0 	-29.0999984741211 	-0.0432000113505637 	-29.0999984741211 	0 	-29 	0.0158999969571596 	-29 	0 	-28.7999992370605 	0.333499999193009 	-28.7999992370605 	0 	-28.8999996185303 	0.427500001140288 	-28.8999996185303 	0 	-28.7999992370605 	0.576199999195524 	-28.7999992370605 	0 	-28.5999984741211 	1.17420000316633 	-28.5999984741211 	0 	
-29 	-0.0398000030472758 	-29 	0 	-29 	-0.0816000030536088 	-29 	0 	-28.9000015258789 	-0.0626019210976665 	-28.9000015258789 	0 	-28.7000007629395 	0.125000759369868 	-28.7000007629395 	0 	-28.8000011444092 	0.343499075315776 	-28.8000011444092 	0 	-28.7000007629395 	0.387100759369787 	-28.7000007629395 	0 	-28.5 	1.02530000059051 	-28.5 	0 	
-28.8999996185303 	-0.0609999988519121 	-28.8999996185303 	0 	-28.8999996185303 	-0.0973999988564174 	-28.8999996185303 	0 	-28.8000011444092 	-0.149700924681383 	-28.8000011444092 	0 	-28.6000003814697 	-0.0154998478174093 	-28.6000003814697 	0 	-28.7000007629395 	0.170400759358017 	-28.7000007629395 	0 	-28.6000003814697 	0.297900152188959 	-28.6000003814697 	0 	-28.3999996185303 	0.823199996855692 	-28.3999996185303 	0 	
-28.7999992370605 	-0.0123000008097733 	-28.7999992370605 	0 	-28.7999992370605 	-0.0535000008094357 	-28.7999992370605 	0 	-28.7000007629395 	-0.203699240628339 	-28.7000007629395 	0 	-28.5 	0.0719000005992712 	-28.5 	0 	-28.6000003814697 	0.133700152175152 	-28.6000003814697 	0 	-28.5 	0.360200000599434 	-28.5 	0 	-28.2999992370605 	0.777200006101339 	-28.2999992370605 	0 	
-28.6999988555908 	-0.00910000059229787 	-28.6999988555908 	0 	-28.6999988555908 	-0.0386000005964888 	-28.6999988555908 	0 	-28.6000003814697 	-0.161499847810774 	-28.6000003814697 	0 	-28.3999996185303 	0.125099996868812 	-28.3999996185303 	0 	-28.5 	0.22300000058749 	-28.5 	0 	-28.3999996185303 	0.396799996866321 	-28.3999996185303 	0 	-28.1999988555908 	0.867900000317604 	-28.1999988555908 	0 	
-28.5999984741211 	0.00430000317282975 	-28.5999984741211 	0 	-28.5999984741211 	-0.0205999968311517 	-28.5999984741211 	0 	-28.5 	-0.102299999402021 	-28.5 	0 	-28.2999992370605 	0.121400006108161 	-28.2999992370605 	0 	-28.3999996185303 	0.237699996854644 	-28.3999996185303 	0 	-28.2999992370605 	0.396800006106787 	-28.2999992370605 	0 	-28.0999984741211 	0.898899995947431 	-28.0999984741211 	0 	
-28.5 	0.0338000006013317 	-28.5 	0 	-28.5 	0.00120000058814185 	-28.5 	0 	-28.4000015258789 	-0.0891000180345145 	-28.4000015258789 	0 	-28.2000007629395 	0.121899910918728 	-28.2000007629395 	0 	-28.3000011444092 	0.226400333922356 	-28.3000011444092 	0 	-28.2000007629395 	0.395599910916644 	-28.2000007629395 	0 	-28 	0.892000003121211 	-28 	0 	
-28.3999996185303 	0.0351999968697783 	-28.3999996185303 	0 	-28.3999996185303 	0.0101999968610471 	-28.3999996185303 	0 	-28.3000011444092 	-0.103699666062312 	-28.3000011444092 	0 	-28.1000003814697 	0.126000100251986 	-28.1000003814697 	0 	-28.2000007629395 	0.235899910905573 	-28.2000007629395 	0 	-28.1000003814697 	0.403300100260822 	-28.1000003814697 	0 	-27.8999996185303 	0.888000003120396 	-27.8999996185303 	0 	
