Run 1; Fc 6-1 corr; Cy 53; Nb-Fc; Conc 0.14 nM_X 	Run 1; Fc 6-1 corr; Cy 53; Nb-Fc; Conc 0.14 nM_Y 	Run 1; Fc 6-1 corr; Cy 53; Nb-Fc; Conc 0.14 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 53; Nb-Fc; Conc 0.14 nM; Fitted_Y 	Run 1; Fc 6-1 corr; Cy 54; Nb-Fc; Conc 0.41 nM_X 	Run 1; Fc 6-1 corr; Cy 54; Nb-Fc; Conc 0.41 nM_Y 	Run 1; Fc 6-1 corr; Cy 54; Nb-Fc; Conc 0.41 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 54; Nb-Fc; Conc 0.41 nM; Fitted_Y 	Run 1; Fc 6-1 corr; Cy 55; Nb-Fc; Conc 1.23 nM_X 	Run 1; Fc 6-1 corr; Cy 55; Nb-Fc; Conc 1.23 nM_Y 	Run 1; Fc 6-1 corr; Cy 55; Nb-Fc; Conc 1.23 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 55; Nb-Fc; Conc 1.23 nM; Fitted_Y 	Run 1; Fc 6-1 corr; Cy 56; Nb-Fc; Conc 3.7 nM_X 	Run 1; Fc 6-1 corr; Cy 56; Nb-Fc; Conc 3.7 nM_Y 	Run 1; Fc 6-1 corr; Cy 56; Nb-Fc; Conc 3.7 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 56; Nb-Fc; Conc 3.7 nM; Fitted_Y 	Run 1; Fc 6-1 corr; Cy 57; Nb-Fc; Conc 11.11 nM_X 	Run 1; Fc 6-1 corr; Cy 57; Nb-Fc; Conc 11.11 nM_Y 	Run 1; Fc 6-1 corr; Cy 57; Nb-Fc; Conc 11.11 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 57; Nb-Fc; Conc 11.11 nM; Fitted_Y 	Run 1; Fc 6-1 corr; Cy 58; Nb-Fc; Conc 33.33 nM_X 	Run 1; Fc 6-1 corr; Cy 58; Nb-Fc; Conc 33.33 nM_Y 	Run 1; Fc 6-1 corr; Cy 58; Nb-Fc; Conc 33.33 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 58; Nb-Fc; Conc 33.33 nM; Fitted_Y 	Run 1; Fc 6-1 corr; Cy 59; Nb-Fc; Conc 100 nM_X 	Run 1; Fc 6-1 corr; Cy 59; Nb-Fc; Conc 100 nM_Y 	Run 1; Fc 6-1 corr; Cy 59; Nb-Fc; Conc 100 nM; Fitted_X 	Run 1; Fc 6-1 corr; Cy 59; Nb-Fc; Conc 100 nM; Fitted_Y 	
-29.3999996185303 	1.11350003853295 	-29.3999996185303 	0 	-29.2999992370605 	1.27239997921424 	-29.2999992370605 	0 	-29.2000007629395 	1.21889805030514 	-29.2000007629395 	0 	-29.1000003814697 	1.42619839497638 	-29.1000003814697 	0 	-29 	1.34539994716761 	-29 	0 	-29 	1.14669994716678 	-29 	0 	-28.8999996185303 	1.29399997767905 	-28.8999996185303 	0 	
-29.2999992370605 	0.979999979215791 	-29.2999992370605 	0 	-29.1999988555908 	1.10989995765703 	-29.1999988555908 	0 	-29.1000003814697 	1.07599839496106 	-29.1000003814697 	0 	-29 	1.22499994717509 	-29 	0 	-28.8999996185303 	1.13319997768122 	-28.8999996185303 	0 	-28.8999996185303 	0.967899977687921 	-28.8999996185303 	0 	-28.7999992370605 	1.06790004787035 	-28.7999992370605 	0 	
-29.1999988555908 	0.84459995765792 	-29.1999988555908 	0 	-29.0999984741211 	0.929299944691593 	-29.0999984741211 	0 	-29 	0.785399947162659 	-29 	0 	-28.8999996185303 	0.909899977690657 	-28.8999996185303 	0 	-28.7999992370605 	0.882300047873287 	-28.7999992370605 	0 	-28.7999992370605 	0.684400047874078 	-28.7999992370605 	0 	-28.6999988555908 	0.779200007244071 	-28.6999988555908 	0 	
-29.1000003814697 	0.598598394972214 	-29.1000003814697 	0 	-29 	0.682899947169062 	-29 	0 	-28.9000015258789 	0.47250009689742 	-28.9000015258789 	0 	-28.8000011444092 	0.555800286303565 	-28.8000011444092 	0 	-28.7000007629395 	0.573000007250812 	-28.7000007629395 	0 	-28.7000007629395 	0.375400007244025 	-28.7000007629395 	0 	-28.6000003814697 	0.4834002386051 	-28.6000003814697 	0 	
-29 	0.395299947173044 	-29 	0 	-28.8999996185303 	0.411899977683788 	-28.8999996185303 	0 	-28.8000011444092 	0.155600286292611 	-28.8000011444092 	0 	-28.7000007629395 	0.260600007255562 	-28.7000007629395 	0 	-28.6000003814697 	0.329500238607579 	-28.6000003814697 	0 	-28.6000003814697 	0.0925002386065898 	-28.6000003814697 	0 	-28.5 	0.193799980923359 	-28.5 	0 	
-28.8999996185303 	0.194599977687176 	-28.8999996185303 	0 	-28.7999992370605 	0.219200047875347 	-28.7999992370605 	0 	-28.7000007629395 	0.0266000072515453 	-28.7000007629395 	0 	-28.6000003814697 	0.103200238612771 	-28.6000003814697 	0 	-28.5 	0.149799980928947 	-28.5 	0 	-28.5 	-0.0528000190752209 	-28.5 	0 	-28.3999996185303 	0.0621999406794203 	-28.3999996185303 	0 	
-28.7999992370605 	0.134500047875918 	-28.7999992370605 	0 	-28.6999988555908 	0.17440000725037 	-28.6999988555908 	0 	-28.6000003814697 	-0.00379976139083738 	-28.6000003814697 	0 	-28.5 	0.0575999809298082 	-28.5 	0 	-28.3999996185303 	0.0913999406839139 	-28.3999996185303 	0 	-28.3999996185303 	-0.0865000593184959 	-28.3999996185303 	0 	-28.2999992370605 	0.0385999458303559 	-28.2999992370605 	0 	
-28.6999988555908 	0.140800007255166 	-28.6999988555908 	0 	-28.5999984741211 	0.1648000001951 	-28.5999984741211 	0 	-28.5 	-0.00560001907433616 	-28.5 	0 	-28.3999996185303 	0.0539999406901188 	-28.3999996185303 	0 	-28.2999992370605 	0.0956999458285281 	-28.2999992370605 	0 	-28.2999992370605 	-0.0765000541723566 	-28.2999992370605 	0 	-28.1999988555908 	0.0480999763458385 	-28.1999988555908 	0 	
-28.6000003814697 	0.168700238609745 	-28.6000003814697 	0 	-28.5 	0.172599980927771 	-28.5 	0 	-28.4000015258789 	0.0195001790998504 	-28.4000015258789 	0 	-28.3000011444092 	0.0794003034607158 	-28.3000011444092 	0 	-28.2000007629395 	0.119600095553324 	-28.2000007629395 	0 	-28.2000007629395 	-0.0551999044400873 	-28.2000007629395 	0 	-28.1000003814697 	0.0491002046474023 	-28.1000003814697 	0 	
-28.5 	0.182199980925361 	-28.5 	0 	-28.3999996185303 	0.184399940684671 	-28.3999996185303 	0 	-28.3000011444092 	0.0281003034542664 	-28.3000011444092 	0 	-28.2000007629395 	0.101200095559761 	-28.2000007629395 	0 	-28.1000003814697 	0.140500204659475 	-28.1000003814697 	0 	-28.1000003814697 	-0.0321997953433311 	-28.1000003814697 	0 	-28 	0.0745000221213559 	-28 	0 	
-28.3999996185303 	0.180999940690526 	-28.3999996185303 	0 	-28.2999992370605 	0.190399945837271 	-28.2999992370605 	0 	-28.2000007629395 	0.0448000955657335 	-28.2000007629395 	0 	-28.1000003814697 	0.117900204662874 	-28.1000003814697 	0 	-28 	0.160900022121496 	-28 	0 	-28 	-0.00789997787796892 	-28 	0 	-27.8999996185303 	0.094599972719152 	-27.8999996185303 	0 	
-28.2999992370605 	0.174199945839064 	-28.2999992370605 	0 	-28.1999988555908 	0.177399976353627 	-28.1999988555908 	0 	-28.1000003814697 	0.0471002046542708 	-28.1000003814697 	0 	-28 	0.125500022135384 	-28 	0 	-27.8999996185303 	0.156999972721678 	-27.8999996185303 	0 	-27.8999996185303 	-0.00350002727645915 	-27.8999996185303 	0 	-27.7999992370605 	0.117600002478866 	-27.7999992370605 	0 	
-28.1999988555908 	0.186499976356572 	-28.1999988555908 	0 	-28.0999984741211 	0.182099966237729 	-28.0999984741211 	0 	-28 	0.0676000221283175 	-28 	0 	-27.8999996185303 	0.11999997273233 	-27.8999996185303 	0 	-27.7999992370605 	0.180700002478261 	-27.7999992370605 	0 	-27.7999992370605 	0.0178000024752691 	-27.7999992370605 	0 	-27.6999988555908 	0.122400042724621 	-27.6999988555908 	0 	
-28.1000003814697 	0.190900204659556 	-28.1000003814697 	0 	-28 	0.194500022123975 	-28 	0 	-27.9000015258789 	0.0868002111456008 	-27.9000015258789 	0 	-27.8000011444092 	0.138499883280019 	-27.8000011444092 	0 	-27.7000007629395 	0.201099804304249 	-27.7000007629395 	0 	-27.7000007629395 	0.0467998043022817 	-27.7000007629395 	0 	-27.6000003814697 	0.134199820509821 	-27.6000003814697 	0 	
-28 	0.213200022131787 	-28 	0 	-27.8999996185303 	0.198799972728011 	-27.8999996185303 	0 	-27.8000011444092 	0.124699883272115 	-27.8000011444092 	0 	-27.7000007629395 	0.162799804311362 	-27.7000007629395 	0 	-27.6000003814697 	0.226599820518459 	-27.6000003814697 	0 	-27.6000003814697 	0.0677998205137555 	-27.6000003814697 	0 	-27.5 	0.15179998473468 	-27.5 	0 	
-27.8999996185303 	0.22679997272644 	-27.8999996185303 	0 	-27.7999992370605 	0.225000002486922 	-27.7999992370605 	0 	-27.7000007629395 	0.163599804305704 	-27.7000007629395 	0 	-27.6000003814697 	0.185999820525467 	-27.6000003814697 	0 	-27.5 	0.24509998474241 	-27.5 	0 	-27.5 	0.0948999847387313 	-27.5 	0 	-27.3999996185303 	0.166899996562279 	-27.3999996185303 	0 	
-27.7999992370605 	0.248400002485141 	-27.7999992370605 	0 	-27.6999988555908 	0.247600042726845 	-27.6999988555908 	0 	-27.6000003814697 	0.187599820521427 	-27.6000003814697 	0 	-27.5 	0.198799984747893 	-27.5 	0 	-27.3999996185303 	0.26739999657002 	-27.3999996185303 	0 	-27.3999996185303 	0.119999996561091 	-27.3999996185303 	0 	-27.2999992370605 	0.179600017545454 	-27.2999992370605 	0 	
-27.6999988555908 	0.278400042734575 	-27.6999988555908 	0 	-27.5999984741211 	0.267100058939832 	-27.5999984741211 	0 	-27.5 	0.213099984743167 	-27.5 	0 	-27.3999996185303 	0.222099996572069 	-27.3999996185303 	0 	-27.2999992370605 	0.281100017549761 	-27.2999992370605 	0 	-27.2999992370605 	0.140000017541752 	-27.2999992370605 	0 	-27.1999988555908 	0.184699970806832 	-27.1999988555908 	0 	
-27.6000003814697 	0.294999820522207 	-27.6000003814697 	0 	-27.5 	0.277099984741653 	-27.5 	0 	-27.4000015258789 	0.221499877356109 	-27.4000015258789 	0 	-27.3000011444092 	0.226799898344325 	-27.3000011444092 	0 	-27.2000007629395 	0.288999970820441 	-27.2000007629395 	0 	-27.2000007629395 	0.149299970813445 	-27.2000007629395 	0 	-27.1000003814697 	0.173500046344998 	-27.1000003814697 	0 	
-27.5 	0.296099984749162 	-27.5 	0 	-27.3999996185303 	0.261599996563746 	-27.3999996185303 	0 	-27.3000011444092 	0.214999898336828 	-27.3000011444092 	0 	-27.2000007629395 	0.21469997082022 	-27.2000007629395 	0 	-27.1000003814697 	0.275700046346174 	-27.1000003814697 	0 	-27.1000003814697 	0.139900046342518 	-27.1000003814697 	0 	-27 	0.15229997386632 	-27 	0 	
-27.3999996185303 	0.300699996565527 	-27.3999996185303 	0 	-27.2999992370605 	0.255000017554266 	-27.2999992370605 	0 	-27.2000007629395 	0.214499970817997 	-27.2000007629395 	0 	-27.1000003814697 	0.206700046357582 	-27.1000003814697 	0 	-27 	0.267799973866204 	-27 	0 	-27 	0.132299973862246 	-27 	0 	-26.8999996185303 	0.137200017539726 	-26.8999996185303 	0 	
-27.2999992370605 	0.299300017548376 	-27.2999992370605 	0 	-27.1999988555908 	0.248799970817345 	-27.1999988555908 	0 	-27.1000003814697 	0.200000046352216 	-27.1000003814697 	0 	-27 	0.204799973878835 	-27 	0 	-26.8999996185303 	0.263800017550238 	-26.8999996185303 	0 	-26.8999996185303 	0.133000017543964 	-26.8999996185303 	0 	-26.7999992370605 	0.13970005473675 	-26.7999992370605 	0 	
-27.1999988555908 	0.282699970826798 	-27.1999988555908 	0 	-27.0999984741211 	0.244100046351377 	-27.0999984741211 	0 	-27 	0.173599973866658 	-27 	0 	-26.8999996185303 	0.207900017558131 	-26.8999996185303 	0 	-26.7999992370605 	0.26820005474292 	-26.7999992370605 	0 	-26.7999992370605 	0.142100054741604 	-26.7999992370605 	0 	-26.6999988555908 	0.152500007243361 	-26.6999988555908 	0 	
-27.1000003814697 	0.255300046352204 	-27.1000003814697 	0 	-27 	0.236599973868579 	-27 	0 	-26.9000015258789 	0.150900017550157 	-26.9000015258789 	0 	-26.8000011444092 	0.209899816327379 	-26.8000011444092 	0 	-26.7000007629395 	0.266899768830626 	-26.7000007629395 	0 	-26.7000007629395 	0.155899768833478 	-26.7000007629395 	0 	-26.6000003814697 	0.16539962310344 	-26.6000003814697 	0 	
-27 	0.234999973872618 	-27 	0 	-26.8999996185303 	0.222400017548352 	-26.8999996185303 	0 	-26.8000011444092 	0.142299816317973 	-26.8000011444092 	0 	-26.7000007629395 	0.208499768836191 	-26.7000007629395 	0 	-26.6000003814697 	0.254699623110355 	-26.6000003814697 	0 	-26.6000003814697 	0.170999623107491 	-26.6000003814697 	0 	-26.5 	0.174799983018602 	-26.5 	0 	
