Run 1; Fc 2-1; Cy 6; WT-V5-APEX2; Conc 0.1524158 nM; Excluded_X 	Run 1; Fc 2-1; Cy 6; WT-V5-APEX2; Conc 0.1524158 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 7; WT-V5-APEX2; Conc 0.4572474 nM_X 	Run 1; Fc 2-1; Cy 7; WT-V5-APEX2; Conc 0.4572474 nM_Y 	Run 1; Fc 2-1; Cy 8; WT-V5-APEX2; Conc 1.371742 nM_X 	Run 1; Fc 2-1; Cy 8; WT-V5-APEX2; Conc 1.371742 nM_Y 	Run 1; Fc 2-1; Cy 9; WT-V5-APEX2; Conc 4.115226 nM_X 	Run 1; Fc 2-1; Cy 9; WT-V5-APEX2; Conc 4.115226 nM_Y 	Run 1; Fc 2-1; Cy 10; WT-V5-APEX2; Conc 12.34568 nM_X 	Run 1; Fc 2-1; Cy 10; WT-V5-APEX2; Conc 12.34568 nM_Y 	Run 1; Fc 2-1; Cy 11; WT-V5-APEX2; Conc 37.03704 nM_X 	Run 1; Fc 2-1; Cy 11; WT-V5-APEX2; Conc 37.03704 nM_Y 	Run 1; Fc 2-1; Cy 12; WT-V5-APEX2; Conc 111.1111 nM_X 	Run 1; Fc 2-1; Cy 12; WT-V5-APEX2; Conc 111.1111 nM_Y 	Run 1; Fc 2-1; Cy 13; WT-V5-APEX2; Conc 333.3333 nM_X 	Run 1; Fc 2-1; Cy 13; WT-V5-APEX2; Conc 333.3333 nM_Y 	Run 1; Fc 2-1; Cy 14; WT-V5-APEX2; Conc 1000 nM; Excluded_X 	Run 1; Fc 2-1; Cy 14; WT-V5-APEX2; Conc 1000 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 36; WT-V5-APEX2; Conc 0.1524158 nM_X 	Run 1; Fc 2-1; Cy 36; WT-V5-APEX2; Conc 0.1524158 nM_Y 	Run 1; Fc 2-1; Cy 37; WT-V5-APEX2; Conc 0.4572474 nM; Excluded_X 	Run 1; Fc 2-1; Cy 37; WT-V5-APEX2; Conc 0.4572474 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 38; WT-V5-APEX2; Conc 1.371742 nM; Excluded_X 	Run 1; Fc 2-1; Cy 38; WT-V5-APEX2; Conc 1.371742 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 39; WT-V5-APEX2; Conc 4.115226 nM; Excluded_X 	Run 1; Fc 2-1; Cy 39; WT-V5-APEX2; Conc 4.115226 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 40; WT-V5-APEX2; Conc 12.34568 nM; Excluded_X 	Run 1; Fc 2-1; Cy 40; WT-V5-APEX2; Conc 12.34568 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 41; WT-V5-APEX2; Conc 37.03704 nM; Excluded_X 	Run 1; Fc 2-1; Cy 41; WT-V5-APEX2; Conc 37.03704 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 42; WT-V5-APEX2; Conc 111.1111 nM; Excluded_X 	Run 1; Fc 2-1; Cy 42; WT-V5-APEX2; Conc 111.1111 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 43; WT-V5-APEX2; Conc 333.3333 nM; Excluded_X 	Run 1; Fc 2-1; Cy 43; WT-V5-APEX2; Conc 333.3333 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 44; WT-V5-APEX2; Conc 1000 nM; Excluded_X 	Run 1; Fc 2-1; Cy 44; WT-V5-APEX2; Conc 1000 nM; Excluded_Y 	
-60 	-2.5896499332448 	-60 	-2.15334993323995 	-60 	-1.69694993324083 	-60 	-1.45674993324064 	-60 	-1.16704993324311 	-60 	-0.801549933243223 	-60 	-0.499949933240714 	-60 	-0.159049933245115 	-60 	0.197150066760514 	-60 	2.65695006675742 	-60 	2.51125006675647 	-60 	2.4518500667582 	-60 	2.51775006675962 	-60 	2.50915006675859 	-60 	2.90105006675731 	-60 	3.03155006676025 	-60 	3.29455006675926 	-60 	3.12295006675777 	
-59.8999938964844 	-2.61694663848903 	-59.8999938964844 	-2.16164663848758 	-59.8999938964844 	-1.69234663848692 	-59.9000244140625 	-1.5311528373677 	-59.8999938964844 	-1.19524663849006 	-59.8999938964844 	-0.80964663848863 	-59.8999938964844 	-0.368846638488321 	-59.8999938964844 	-0.0852466384894797 	-59.8999938964844 	0.220053361514147 	-59.8999938964844 	2.66255336151153 	-59.8999938964844 	2.48985336151236 	-59.8999938964844 	2.42205336151164 	-59.9000244140625 	2.42884716262779 	-59.9000244140625 	2.58804716262603 	-59.8999938964844 	2.73405336151336 	-59.8999938964844 	3.22415336151607 	-59.8999938964844 	3.24865336150833 	-59.8999938964844 	3.24725336150732 	
-59.7999877929688 	-2.59494702834854 	-59.7999877929688 	-2.16524702834795 	-59.7999877929688 	-1.70984702834903 	-59.8000183105469 	-1.47885012779079 	-59.7999877929688 	-1.22244702835087 	-59.8000183105469 	-0.844750127791485 	-59.7999877929688 	-0.494947028349998 	-59.7999877929688 	-0.219847028354707 	-59.7999877929688 	0.0745529716514284 	-59.7999877929688 	2.65365297165044 	-59.7999877929688 	2.46765297165257 	-59.7999877929688 	2.41085297165046 	-59.8000183105469 	2.457649872209 	-59.8000183105469 	2.53254987220862 	-59.8000183105469 	2.75424987220686 	-59.7999877929688 	3.09475297165045 	-59.8000183105469 	3.06514987220362 	-59.7999877929688 	3.22205297164692 	
-59.6999816894531 	-2.58474773826674 	-59.7000122070313 	-2.16805131454385 	-59.6999816894531 	-1.71734773826392 	-59.7000122070313 	-1.48105131454213 	-59.6999816894531 	-1.23254773826557 	-59.7000122070313 	-0.869951314543869 	-59.7000122070313 	-0.523651314542803 	-59.7000122070313 	-0.225051314548182 	-59.6999816894531 	0.0484522617334733 	-59.6999816894531 	2.65955226173537 	-59.6999816894531 	2.45605226173575 	-59.6999816894531 	2.40875226173375 	-59.7000122070313 	2.42964868545823 	-59.7000122070313 	2.51774868545544 	-59.7000122070313 	2.70214868545736 	-59.6999816894531 	2.96475226173789 	-59.7000122070313 	3.01454868545261 	-59.6999816894531 	3.17025226173064 	
-59.5999755859375 	-2.59734974288949 	-59.6000061035156 	-2.16744998130889 	-59.5999755859375 	-1.72154974288787 	-59.6000061035156 	-1.47644998130636 	-59.5999755859375 	-1.22894974289011 	-59.6000061035156 	-0.899149981309165 	-59.6000061035156 	-0.531249981308065 	-59.6000061035156 	-0.258449981309241 	-59.6000061035156 	0.0398500186929596 	-59.6000061035156 	2.66165001869012 	-59.6000061035156 	2.44905001869483 	-59.6000061035156 	2.39825001869394 	-59.6000061035156 	2.42405001869338 	-59.6000061035156 	2.52975001869345 	-59.6000061035156 	2.69175001869007 	-59.6000061035156 	2.97105001869204 	-59.6000061035156 	3.03115001869082 	-59.5999755859375 	3.12345025710965 	
-59.5 	-2.61009994964843 	-59.5 	-2.18089994964248 	-59.5 	-1.73599994964388 	-59.5 	-1.49759994964188 	-59.5 	-1.24749994964805 	-59.5 	-0.929699949643691 	-59.5 	-0.563699949645525 	-59.5 	-0.291799949645792 	-59.5 	0.00770005035519716 	-59.5 	2.64770005035462 	-59.5 	2.43010005035831 	-59.5 	2.37810005035499 	-59.5 	2.40120005035351 	-59.5 	2.49540005035669 	-59.5 	2.66610005035545 	-59.5 	2.94880005035884 	-59.5 	3.01470005035299 	-59.5 	3.0767000503547 	
-59.3999938964844 	-2.62584919090659 	-59.3999938964844 	-2.18594919090174 	-59.3999938964844 	-1.74864919090032 	-59.4000244140625 	-1.51435109824888 	-59.3999938964844 	-1.26394919090308 	-59.3999938964844 	-0.942949190903164 	-59.3999938964844 	-0.573349190901354 	-59.3999938964844 	-0.307249190904258 	-59.3999938964844 	-0.00664919090195326 	-59.3999938964844 	2.63635080909444 	-59.3999938964844 	2.41195080909893 	-59.3999938964844 	2.36885080909633 	-59.4000244140625 	2.38704890174995 	-59.4000244140625 	2.50794890174802 	-59.3999938964844 	2.64555080909849 	-59.3999938964844 	2.9409508091012 	-59.3999938964844 	3.00795080909666 	-59.3999938964844 	3.05215080909693 	
-59.2999877929688 	-2.62804914589287 	-59.2999877929688 	-2.18224914588791 	-59.2999877929688 	-1.75884914588823 	-59.3000183105469 	-1.5212508148179 	-59.2999877929688 	-1.27574914588695 	-59.3000183105469 	-0.957450814818003 	-59.2999877929688 	-0.585149145888863 	-59.2999877929688 	-0.323049145892583 	-59.2999877929688 	-0.0318491458856442 	-59.2999877929688 	2.63395085410957 	-59.2999877929688 	2.39705085411333 	-59.2999877929688 	2.36495085410934 	-59.3000183105469 	2.37714918518031 	-59.3000183105469 	2.50084918518041 	-59.3000183105469 	2.62634918518233 	-59.2999877929688 	2.93235085411288 	-59.3000183105469 	2.9936491851804 	-59.2999877929688 	3.01385085410584 	
-59.1999816894531 	-2.63374897689937 	-59.2000122070313 	-2.18964945373591 	-59.1999816894531 	-1.76894897689635 	-59.2000122070313 	-1.52884945373444 	-59.1999816894531 	-1.27794897689819 	-59.2000122070313 	-0.979749453734257 	-59.2000122070313 	-0.592849453736562 	-59.2000122070313 	-0.34394945373424 	-59.1999816894531 	-0.0488489768940781 	-59.1999816894531 	2.62375102310034 	-59.1999816894531 	2.37815102310196 	-59.1999816894531 	2.35635102310334 	-59.2000122070313 	2.35795054626578 	-59.2000122070313 	2.47585054626325 	-59.2000122070313 	2.60335054626557 	-59.1999816894531 	2.91875102310587 	-59.2000122070313 	2.97485054626304 	-59.1999816894531 	2.97705102309919 	
-59.0999755859375 	-2.63944888648984 	-59.1000061035156 	-2.19205007857818 	-59.0999755859375 	-1.77464888648683 	-59.1000061035156 	-1.53715007858045 	-59.0999755859375 	-1.2810488864925 	-59.1000061035156 	-0.989950078583206 	-59.1000061035156 	-0.603950078580965 	-59.1000061035156 	-0.360150078584411 	-59.1000061035156 	-0.0612500785791781 	-59.1000061035156 	2.61044992141615 	-59.1000061035156 	2.36714992142151 	-59.1000061035156 	2.34784992141795 	-59.1000061035156 	2.34954992141866 	-59.1000061035156 	2.46384992141975 	-59.1000061035156 	2.58674992141823 	-59.1000061035156 	2.90794992142037 	-59.1000061035156 	2.96414992141581 	-59.0999755859375 	2.95905111351021 	
