Run 1; Fc 3-1; Cy 5; S2P; Conc 1.693509 nM_X 	Run 1; Fc 3-1; Cy 5; S2P; Conc 1.693509 nM_Y 	Run 1; Fc 3-1; Cy 5; S2P; Conc 1.693509 nM; Fitted_X 	Run 1; Fc 3-1; Cy 5; S2P; Conc 1.693509 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 6; S2P; Conc 5.080526 nM_X 	Run 1; Fc 3-1; Cy 6; S2P; Conc 5.080526 nM_Y 	Run 1; Fc 3-1; Cy 6; S2P; Conc 5.080526 nM; Fitted_X 	Run 1; Fc 3-1; Cy 6; S2P; Conc 5.080526 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 7; S2P; Conc 15.24158 nM_X 	Run 1; Fc 3-1; Cy 7; S2P; Conc 15.24158 nM_Y 	Run 1; Fc 3-1; Cy 7; S2P; Conc 15.24158 nM; Fitted_X 	Run 1; Fc 3-1; Cy 7; S2P; Conc 15.24158 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 8; S2P; Conc 45.72474 nM_X 	Run 1; Fc 3-1; Cy 8; S2P; Conc 45.72474 nM_Y 	Run 1; Fc 3-1; Cy 8; S2P; Conc 45.72474 nM; Fitted_X 	Run 1; Fc 3-1; Cy 8; S2P; Conc 45.72474 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 9; S2P; Conc 137.1742 nM_X 	Run 1; Fc 3-1; Cy 9; S2P; Conc 137.1742 nM_Y 	Run 1; Fc 3-1; Cy 9; S2P; Conc 137.1742 nM; Fitted_X 	Run 1; Fc 3-1; Cy 9; S2P; Conc 137.1742 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 10; S2P; Conc 411.5226 nM_X 	Run 1; Fc 3-1; Cy 10; S2P; Conc 411.5226 nM_Y 	Run 1; Fc 3-1; Cy 10; S2P; Conc 411.5226 nM; Fitted_X 	Run 1; Fc 3-1; Cy 10; S2P; Conc 411.5226 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 11; S2P; Conc 1234.568 nM_X 	Run 1; Fc 3-1; Cy 11; S2P; Conc 1234.568 nM_Y 	Run 1; Fc 3-1; Cy 11; S2P; Conc 1234.568 nM; Fitted_X 	Run 1; Fc 3-1; Cy 11; S2P; Conc 1234.568 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 12; S2P; Conc 3703.704 nM_X 	Run 1; Fc 3-1; Cy 12; S2P; Conc 3703.704 nM_Y 	Run 1; Fc 3-1; Cy 12; S2P; Conc 3703.704 nM; Fitted_X 	Run 1; Fc 3-1; Cy 12; S2P; Conc 3703.704 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 13; S2P; Conc 11111.11 nM_X 	Run 1; Fc 3-1; Cy 13; S2P; Conc 11111.11 nM_Y 	Run 1; Fc 3-1; Cy 13; S2P; Conc 11111.11 nM; Fitted_X 	Run 1; Fc 3-1; Cy 13; S2P; Conc 11111.11 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 14; S2P; Conc 33333.33 nM_X 	Run 1; Fc 3-1; Cy 14; S2P; Conc 33333.33 nM_Y 	Run 1; Fc 3-1; Cy 14; S2P; Conc 33333.33 nM; Fitted_X 	Run 1; Fc 3-1; Cy 14; S2P; Conc 33333.33 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 15; S2P; Conc 100000 nM_X 	Run 1; Fc 3-1; Cy 15; S2P; Conc 100000 nM_Y 	Run 1; Fc 3-1; Cy 15; S2P; Conc 100000 nM; Fitted_X 	Run 1; Fc 3-1; Cy 15; S2P; Conc 100000 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 17; S2P; Conc 1.693509 nM_X 	Run 1; Fc 3-1; Cy 17; S2P; Conc 1.693509 nM_Y 	Run 1; Fc 3-1; Cy 17; S2P; Conc 1.693509 nM; Fitted_X 	Run 1; Fc 3-1; Cy 17; S2P; Conc 1.693509 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 18; S2P; Conc 5.080526 nM_X 	Run 1; Fc 3-1; Cy 18; S2P; Conc 5.080526 nM_Y 	Run 1; Fc 3-1; Cy 18; S2P; Conc 5.080526 nM; Fitted_X 	Run 1; Fc 3-1; Cy 18; S2P; Conc 5.080526 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 19; S2P; Conc 15.24158 nM_X 	Run 1; Fc 3-1; Cy 19; S2P; Conc 15.24158 nM_Y 	Run 1; Fc 3-1; Cy 19; S2P; Conc 15.24158 nM; Fitted_X 	Run 1; Fc 3-1; Cy 19; S2P; Conc 15.24158 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 20; S2P; Conc 45.72474 nM_X 	Run 1; Fc 3-1; Cy 20; S2P; Conc 45.72474 nM_Y 	Run 1; Fc 3-1; Cy 20; S2P; Conc 45.72474 nM; Fitted_X 	Run 1; Fc 3-1; Cy 20; S2P; Conc 45.72474 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 21; S2P; Conc 137.1742 nM_X 	Run 1; Fc 3-1; Cy 21; S2P; Conc 137.1742 nM_Y 	Run 1; Fc 3-1; Cy 21; S2P; Conc 137.1742 nM; Fitted_X 	Run 1; Fc 3-1; Cy 21; S2P; Conc 137.1742 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 22; S2P; Conc 411.5226 nM_X 	Run 1; Fc 3-1; Cy 22; S2P; Conc 411.5226 nM_Y 	Run 1; Fc 3-1; Cy 22; S2P; Conc 411.5226 nM; Fitted_X 	Run 1; Fc 3-1; Cy 22; S2P; Conc 411.5226 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 23; S2P; Conc 1234.568 nM_X 	Run 1; Fc 3-1; Cy 23; S2P; Conc 1234.568 nM_Y 	Run 1; Fc 3-1; Cy 23; S2P; Conc 1234.568 nM; Fitted_X 	Run 1; Fc 3-1; Cy 23; S2P; Conc 1234.568 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 24; S2P; Conc 3703.704 nM_X 	Run 1; Fc 3-1; Cy 24; S2P; Conc 3703.704 nM_Y 	Run 1; Fc 3-1; Cy 24; S2P; Conc 3703.704 nM; Fitted_X 	Run 1; Fc 3-1; Cy 24; S2P; Conc 3703.704 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 25; S2P; Conc 11111.11 nM_X 	Run 1; Fc 3-1; Cy 25; S2P; Conc 11111.11 nM_Y 	Run 1; Fc 3-1; Cy 25; S2P; Conc 11111.11 nM; Fitted_X 	Run 1; Fc 3-1; Cy 25; S2P; Conc 11111.11 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 26; S2P; Conc 33333.33 nM_X 	Run 1; Fc 3-1; Cy 26; S2P; Conc 33333.33 nM_Y 	Run 1; Fc 3-1; Cy 26; S2P; Conc 33333.33 nM; Fitted_X 	Run 1; Fc 3-1; Cy 26; S2P; Conc 33333.33 nM; Fitted_Y 	Run 1; Fc 3-1; Cy 27; S2P; Conc 100000 nM_X 	Run 1; Fc 3-1; Cy 27; S2P; Conc 100000 nM_Y 	Run 1; Fc 3-1; Cy 27; S2P; Conc 100000 nM; Fitted_X 	Run 1; Fc 3-1; Cy 27; S2P; Conc 100000 nM; Fitted_Y 	
-29.6000003814697 	0.44179996909952 	-29.6000003814697 	0 	-29.5 	0.61694995345897 	-29.5 	0 	-29.3999996185303 	0.748800785921048 	-29.3999996185303 	0 	-29.2999992370605 	0.85965054960252 	-29.2999992370605 	0 	-29.2999992370605 	0.850350549608265 	-29.2999992370605 	0 	-29.2000007629395 	0.941699984552542 	-29.2000007629395 	0 	-29.1000003814697 	0.879550001718599 	-29.1000003814697 	0 	-29.1000003814697 	0.999650001715054 	-29.1000003814697 	0 	-29 	0.957150025747978 	-29 	0 	-28.8999996185303 	0.959800535012619 	-28.8999996185303 	0 	-28.7999992370605 	0.954650422190753 	-28.7999992370605 	0 	-29.6000003814697 	0.491599969103845 	-29.6000003814697 	0 	-29.5 	0.582749953460734 	-29.5 	0 	-29.3999996185303 	0.677100785924267 	-29.3999996185303 	0 	-29.2999992370605 	0.808450549600821 	-29.2999992370605 	0 	-29.2999992370605 	0.621350549605268 	-29.2999992370605 	0 	-29.2000007629395 	0.755899984545977 	-29.2000007629395 	0 	-29.2000007629395 	0.705399984552059 	-29.2000007629395 	0 	-29.1000003814697 	0.809550001715252 	-29.1000003814697 	0 	-29 	0.917550025751552 	-29 	0 	-29 	0.827650025752519 	-29 	0 	-28.8999996185303 	0.7786005350099 	-28.8999996185303 	0 	
-29.5 	0.270249953464372 	-29.5 	0 	-29.3999996185303 	0.452800785922591 	-29.3999996185303 	0 	-29.2999992370605 	0.623650549601734 	-29.2999992370605 	0 	-29.1999988555908 	0.67370093822683 	-29.1999988555908 	0 	-29.1999988555908 	0.68080093822573 	-29.1999988555908 	0 	-29.1000003814697 	0.718350001719955 	-29.1000003814697 	0 	-29 	0.707650025749899 	-29 	0 	-29 	0.804250025750662 	-29 	0 	-28.8999996185303 	0.734400535013265 	-28.8999996185303 	0 	-28.7999992370605 	0.801250422191515 	-28.7999992370605 	0 	-28.6999988555908 	0.752150172138499 	-28.6999988555908 	0 	-29.5 	0.347549953461566 	-29.5 	0 	-29.3999996185303 	0.449500785922282 	-29.3999996185303 	0 	-29.2999992370605 	0.505950549602858 	-29.2999992370605 	0 	-29.1999988555908 	0.657600938226096 	-29.1999988555908 	0 	-29.1999988555908 	0.4711009382263 	-29.1999988555908 	0 	-29.1000003814697 	0.570250001717795 	-29.1000003814697 	0 	-29.1000003814697 	0.549950001717662 	-29.1000003814697 	0 	-29 	0.680150025749754 	-29 	0 	-28.8999996185303 	0.746000535011262 	-28.8999996185303 	0 	-28.8999996185303 	0.643900535011198 	-28.8999996185303 	0 	-28.7999992370605 	0.655350422191987 	-28.7999992370605 	0 	
-29.3999996185303 	0.215300785926956 	-29.3999996185303 	0 	-29.2999992370605 	0.380250549602351 	-29.2999992370605 	0 	-29.1999988555908 	0.496900938222097 	-29.1999988555908 	0 	-29.0999984741211 	0.561851253412897 	-29.0999984741211 	0 	-29.0999984741211 	0.575851253415749 	-29.0999984741211 	0 	-29 	0.629050025752804 	-29 	0 	-28.8999996185303 	0.616200535012467 	-28.8999996185303 	0 	-28.8999996185303 	0.685600535012782 	-28.8999996185303 	0 	-28.7999992370605 	0.626050422193657 	-28.7999992370605 	0 	-28.6999988555908 	0.679350172140403 	-28.6999988555908 	0 	-28.5999984741211 	0.587800243374659 	-28.5999984741211 	0 	-29.3999996185303 	0.280000785922311 	-29.3999996185303 	0 	-29.2999992370605 	0.379150549604674 	-29.2999992370605 	0 	-29.1999988555908 	0.40230093822538 	-29.1999988555908 	0 	-29.0999984741211 	0.553151253414399 	-29.0999984741211 	0 	-29.0999984741211 	0.392451253414038 	-29.0999984741211 	0 	-29 	0.501350025748252 	-29 	0 	-29 	0.452250025751709 	-29 	0 	-28.8999996185303 	0.580800535011804 	-28.8999996185303 	0 	-28.7999992370605 	0.636250422190642 	-28.7999992370605 	0 	-28.7999992370605 	0.548450422193127 	-28.7999992370605 	0 	-28.6999988555908 	0.548650172138878 	-28.6999988555908 	0 	
-29.3000011444092 	0.180949238299945 	-29.3000011444092 	0 	-29.2000007629395 	0.319099984550121 	-29.2000007629395 	0 	-29.1000003814697 	0.406650001714297 	-29.1000003814697 	0 	-29 	0.508450025747152 	-29 	0 	-29 	0.517850025749794 	-29 	0 	-28.9000015258789 	0.553899640941381 	-28.9000015258789 	0 	-28.8000011444092 	0.546349766540516 	-28.8000011444092 	0 	-28.8000011444092 	0.597449766541104 	-28.8000011444092 	0 	-28.7000007629395 	0.521749993324192 	-28.7000007629395 	0 	-28.6000003814697 	0.573700004959392 	-28.6000003814697 	0 	-28.5 	0.466899989984086 	-28.5 	0 	-29.3000011444092 	0.244649238298734 	-29.3000011444092 	0 	-29.2000007629395 	0.325199984548817 	-29.2000007629395 	0 	-29.1000003814697 	0.333550001716503 	-29.1000003814697 	0 	-29 	0.503450025746133 	-29 	0 	-29 	0.366550025752076 	-29 	0 	-28.9000015258789 	0.426299640941579 	-28.9000015258789 	0 	-28.9000015258789 	0.394199640944862 	-28.9000015258789 	0 	-28.8000011444092 	0.493249766543158 	-28.8000011444092 	0 	-28.7000007629395 	0.529749993325822 	-28.7000007629395 	0 	-28.7000007629395 	0.457549993323482 	-28.7000007629395 	0 	-28.6000003814697 	0.447700004959188 	-28.6000003814697 	0 	
-29.2000007629395 	0.161099984554312 	-29.2000007629395 	0 	-29.1000003814697 	0.284250001717737 	-29.1000003814697 	0 	-29 	0.374250025750371 	-29 	0 	-28.8999996185303 	0.462200535013835 	-28.8999996185303 	0 	-28.8999996185303 	0.479300535014772 	-28.8999996185303 	0 	-28.8000011444092 	0.501149766540038 	-28.8000011444092 	0 	-28.7000007629395 	0.489449993325252 	-28.7000007629395 	0 	-28.7000007629395 	0.543149993325642 	-28.7000007629395 	0 	-28.6000003814697 	0.448700004959392 	-28.6000003814697 	0 	-28.5 	0.508699989986781 	-28.5 	0 	-28.3999996185303 	0.363200006959232 	-28.3999996185303 	0 	-29.2000007629395 	0.2305999845521 	-29.2000007629395 	0 	-29.1000003814697 	0.297750001718668 	-29.1000003814697 	0 	-29 	0.326750025753427 	-29 	0 	-28.8999996185303 	0.4661005350099 	-28.8999996185303 	0 	-28.8999996185303 	0.349600535013451 	-28.8999996185303 	0 	-28.8000011444092 	0.400549766542099 	-28.8000011444092 	0 	-28.8000011444092 	0.375649766541756 	-28.8000011444092 	0 	-28.7000007629395 	0.44364999332538 	-28.7000007629395 	0 	-28.6000003814697 	0.455200004958897 	-28.6000003814697 	0 	-28.6000003814697 	0.396700004959712 	-28.6000003814697 	0 	-28.5 	0.401799989987921 	-28.5 	0 	
-29.1000003814697 	0.153250001716515 	-29.1000003814697 	0 	-29 	0.276350025749707 	-29 	0 	-28.8999996185303 	0.355500535009924 	-28.8999996185303 	0 	-28.7999992370605 	0.449350422190037 	-28.7999992370605 	0 	-28.7999992370605 	0.44955042219226 	-28.7999992370605 	0 	-28.7000007629395 	0.459049993325607 	-28.7000007629395 	0 	-28.6000003814697 	0.438200004962709 	-28.6000003814697 	0 	-28.6000003814697 	0.487900004962285 	-28.6000003814697 	0 	-28.5 	0.416099989986833 	-28.5 	0 	-28.3999996185303 	0.449300006959675 	-28.3999996185303 	0 	-28.2999992370605 	0.30524986457749 	-28.2999992370605 	0 	-29.1000003814697 	0.232550001717755 	-29.1000003814697 	0 	-29 	0.314350025750173 	-29 	0 	-28.8999996185303 	0.321400535012799 	-28.8999996185303 	0 	-28.7999992370605 	0.450150422188017 	-28.7999992370605 	0 	-28.7999992370605 	0.338450422194001 	-28.7999992370605 	0 	-28.7000007629395 	0.38024999332265 	-28.7000007629395 	0 	-28.7000007629395 	0.350249993323814 	-28.7000007629395 	0 	-28.6000003814697 	0.402900004963158 	-28.6000003814697 	0 	-28.5 	0.404899989986006 	-28.5 	0 	-28.5 	0.359499989986944 	-28.5 	0 	-28.3999996185303 	0.337400006959797 	-28.3999996185303 	0 	
-29 	0.154650025750016 	-29 	0 	-28.8999996185303 	0.264400535012101 	-28.8999996185303 	0 	-28.7999992370605 	0.304150422191015 	-28.7999992370605 	0 	-28.6999988555908 	0.379550172136078 	-28.6999988555908 	0 	-28.6999988555908 	0.416550172139978 	-28.6999988555908 	0 	-28.6000003814697 	0.411300004958321 	-28.6000003814697 	0 	-28.5 	0.391599989987299 	-28.5 	0 	-28.5 	0.438199989988789 	-28.5 	0 	-28.3999996185303 	0.352200006960629 	-28.3999996185303 	0 	-28.2999992370605 	0.38834986458096 	-28.2999992370605 	0 	-28.1999988555908 	0.231149943538185 	-28.1999988555908 	0 	-29 	0.243050025750563 	-29 	0 	-28.8999996185303 	0.310600535012782 	-28.8999996185303 	0 	-28.7999992370605 	0.313150422192848 	-28.7999992370605 	0 	-28.6999988555908 	0.41365017213684 	-28.6999988555908 	0 	-28.6999988555908 	0.305150172142021 	-28.6999988555908 	0 	-28.6000003814697 	0.337100004959211 	-28.6000003814697 	0 	-28.6000003814697 	0.305400004959665 	-28.6000003814697 	0 	-28.5 	0.353399989984609 	-28.5 	0 	-28.3999996185303 	0.333500006960094 	-28.3999996185303 	0 	-28.3999996185303 	0.292100006961846 	-28.3999996185303 	0 	-28.2999992370605 	0.284749864578771 	-28.2999992370605 	0 	
-28.8999996185303 	0.149700535013835 	-28.8999996185303 	0 	-28.7999992370605 	0.219350422194111 	-28.7999992370605 	0 	-28.6999988555908 	0.24755017213829 	-28.6999988555908 	0 	-28.5999984741211 	0.311700243379164 	-28.5999984741211 	0 	-28.5999984741211 	0.341300243380829 	-28.5999984741211 	0 	-28.5 	0.3374999899861 	-28.5 	0 	-28.3999996185303 	0.328600006963825 	-28.3999996185303 	0 	-28.3999996185303 	0.341400006960612 	-28.3999996185303 	0 	-28.2999992370605 	0.29644986457788 	-28.2999992370605 	0 	-28.1999988555908 	0.320849943542271 	-28.1999988555908 	0 	-28.0999984741211 	0.151000070378359 	-28.0999984741211 	0 	-28.8999996185303 	0.206000535010389 	-28.8999996185303 	0 	-28.7999992370605 	0.265050422192871 	-28.7999992370605 	0 	-28.6999988555908 	0.256950172140932 	-28.6999988555908 	0 	-28.5999984741211 	0.366800243376929 	-28.5999984741211 	0 	-28.5999984741211 	0.264300243379694 	-28.5999984741211 	0 	-28.5 	0.302999989984528 	-28.5 	0 	-28.5 	0.275299989989435 	-28.5 	0 	-28.3999996185303 	0.292800006962352 	-28.3999996185303 	0 	-28.2999992370605 	0.282049864577857 	-28.2999992370605 	0 	-28.2999992370605 	0.241049864580418 	-28.2999992370605 	0 	-28.1999988555908 	0.227949943542626 	-28.1999988555908 	0 	
-28.8000011444092 	0.109449766543548 	-28.8000011444092 	0 	-28.7000007629395 	0.173449993326358 	-28.7000007629395 	0 	-28.6000003814697 	0.185800004957855 	-28.6000003814697 	0 	-28.5 	0.25359998998465 	-28.5 	0 	-28.5 	0.288899989991478 	-28.5 	0 	-28.4000015258789 	0.263000126171391 	-28.4000015258789 	0 	-28.3000011444092 	0.247150103001331 	-28.3000011444092 	0 	-28.3000011444092 	0.268550102999143 	-28.3000011444092 	0 	-28.2000007629395 	0.210350003148051 	-28.2000007629395 	0 	-28.1000003814697 	0.242100010778813 	-28.1000003814697 	0 	-28 	0.0787999758686055 	-28 	0 	-28.8000011444092 	0.181749766539724 	-28.8000011444092 	0 	-28.7000007629395 	0.224849993326643 	-28.7000007629395 	0 	-28.6000003814697 	0.200500004961214 	-28.6000003814697 	0 	-28.5 	0.3374999899861 	-28.5 	0 	-28.5 	0.236999989985634 	-28.5 	0 	-28.4000015258789 	0.26120012616957 	-28.4000015258789 	0 	-28.4000015258789 	0.196100126173405 	-28.4000015258789 	0 	-28.3000011444092 	0.241750102999504 	-28.3000011444092 	0 	-28.2000007629395 	0.191150003149232 	-28.2000007629395 	0 	-28.2000007629395 	0.197150003150455 	-28.2000007629395 	0 	-28.1000003814697 	0.190900010777113 	-28.1000003814697 	0 	
-28.7000007629395 	0.0762499933262006 	-28.7000007629395 	0 	-28.6000003814697 	0.126700004955637 	-28.6000003814697 	0 	-28.5 	0.135699989987188 	-28.5 	0 	-28.3999996185303 	0.181900006962678 	-28.3999996185303 	0 	-28.3999996185303 	0.218900006966578 	-28.3999996185303 	0 	-28.3000011444092 	0.199050102997717 	-28.3000011444092 	0 	-28.2000007629395 	0.182850003147905 	-28.2000007629395 	0 	-28.2000007629395 	0.20195000314925 	-28.2000007629395 	0 	-28.1000003814697 	0.14670001077684 	-28.1000003814697 	0 	-28 	0.176799975874019 	-28 	0 	-27.8999996185303 	0.0311000638939731 	-27.8999996185303 	0 	-28.7000007629395 	0.154749993325822 	-28.7000007629395 	0 	-28.6000003814697 	0.179300004961988 	-28.6000003814697 	0 	-28.5 	0.162099989986018 	-28.5 	0 	-28.3999996185303 	0.259400006958458 	-28.3999996185303 	0 	-28.3999996185303 	0.191200006964209 	-28.3999996185303 	0 	-28.3000011444092 	0.19155010299437 	-28.3000011444092 	0 	-28.3000011444092 	0.139250102998631 	-28.3000011444092 	0 	-28.2000007629395 	0.161750003149791 	-28.2000007629395 	0 	-28.1000003814697 	0.126100010777009 	-28.1000003814697 	0 	-28.1000003814697 	0.130800010774692 	-28.1000003814697 	0 	-28 	0.166199975872587 	-28 	0 	
