Run 1; Fc 4-1; Cy 14; SAH; Conc 114.3118 nM_X 	Run 1; Fc 4-1; Cy 14; SAH; Conc 114.3118 nM_Y 	Run 1; Fc 4-1; Cy 14; SAH; Conc 114.3118 nM; Fitted_X 	Run 1; Fc 4-1; Cy 14; SAH; Conc 114.3118 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 15; SAH; Conc 342.9355 nM_X 	Run 1; Fc 4-1; Cy 15; SAH; Conc 342.9355 nM_Y 	Run 1; Fc 4-1; Cy 15; SAH; Conc 342.9355 nM; Fitted_X 	Run 1; Fc 4-1; Cy 15; SAH; Conc 342.9355 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 16; SAH; Conc 1028.807 nM_X 	Run 1; Fc 4-1; Cy 16; SAH; Conc 1028.807 nM_Y 	Run 1; Fc 4-1; Cy 16; SAH; Conc 1028.807 nM; Fitted_X 	Run 1; Fc 4-1; Cy 16; SAH; Conc 1028.807 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 17; SAH; Conc 3086.42 nM_X 	Run 1; Fc 4-1; Cy 17; SAH; Conc 3086.42 nM_Y 	Run 1; Fc 4-1; Cy 17; SAH; Conc 3086.42 nM; Fitted_X 	Run 1; Fc 4-1; Cy 17; SAH; Conc 3086.42 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 18; SAH; Conc 9259.259 nM_X 	Run 1; Fc 4-1; Cy 18; SAH; Conc 9259.259 nM_Y 	Run 1; Fc 4-1; Cy 18; SAH; Conc 9259.259 nM; Fitted_X 	Run 1; Fc 4-1; Cy 18; SAH; Conc 9259.259 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 19; SAH; Conc 27777.78 nM_X 	Run 1; Fc 4-1; Cy 19; SAH; Conc 27777.78 nM_Y 	Run 1; Fc 4-1; Cy 19; SAH; Conc 27777.78 nM; Fitted_X 	Run 1; Fc 4-1; Cy 19; SAH; Conc 27777.78 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 20; SAH; Conc 83333.34 nM_X 	Run 1; Fc 4-1; Cy 20; SAH; Conc 83333.34 nM_Y 	Run 1; Fc 4-1; Cy 20; SAH; Conc 83333.34 nM; Fitted_X 	Run 1; Fc 4-1; Cy 20; SAH; Conc 83333.34 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 21; SAH; Conc 250000 nM_X 	Run 1; Fc 4-1; Cy 21; SAH; Conc 250000 nM_Y 	Run 1; Fc 4-1; Cy 21; SAH; Conc 250000 nM; Fitted_X 	Run 1; Fc 4-1; Cy 21; SAH; Conc 250000 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 23; SAH; Conc 114.3118 nM_X 	Run 1; Fc 4-1; Cy 23; SAH; Conc 114.3118 nM_Y 	Run 1; Fc 4-1; Cy 23; SAH; Conc 114.3118 nM; Fitted_X 	Run 1; Fc 4-1; Cy 23; SAH; Conc 114.3118 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 24; SAH; Conc 342.9355 nM_X 	Run 1; Fc 4-1; Cy 24; SAH; Conc 342.9355 nM_Y 	Run 1; Fc 4-1; Cy 24; SAH; Conc 342.9355 nM; Fitted_X 	Run 1; Fc 4-1; Cy 24; SAH; Conc 342.9355 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 25; SAH; Conc 1028.807 nM_X 	Run 1; Fc 4-1; Cy 25; SAH; Conc 1028.807 nM_Y 	Run 1; Fc 4-1; Cy 25; SAH; Conc 1028.807 nM; Fitted_X 	Run 1; Fc 4-1; Cy 25; SAH; Conc 1028.807 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 26; SAH; Conc 3086.42 nM_X 	Run 1; Fc 4-1; Cy 26; SAH; Conc 3086.42 nM_Y 	Run 1; Fc 4-1; Cy 26; SAH; Conc 3086.42 nM; Fitted_X 	Run 1; Fc 4-1; Cy 26; SAH; Conc 3086.42 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 27; SAH; Conc 9259.259 nM_X 	Run 1; Fc 4-1; Cy 27; SAH; Conc 9259.259 nM_Y 	Run 1; Fc 4-1; Cy 27; SAH; Conc 9259.259 nM; Fitted_X 	Run 1; Fc 4-1; Cy 27; SAH; Conc 9259.259 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 28; SAH; Conc 27777.78 nM_X 	Run 1; Fc 4-1; Cy 28; SAH; Conc 27777.78 nM_Y 	Run 1; Fc 4-1; Cy 28; SAH; Conc 27777.78 nM; Fitted_X 	Run 1; Fc 4-1; Cy 28; SAH; Conc 27777.78 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 29; SAH; Conc 83333.34 nM_X 	Run 1; Fc 4-1; Cy 29; SAH; Conc 83333.34 nM_Y 	Run 1; Fc 4-1; Cy 29; SAH; Conc 83333.34 nM; Fitted_X 	Run 1; Fc 4-1; Cy 29; SAH; Conc 83333.34 nM; Fitted_Y 	Run 1; Fc 4-1; Cy 30; SAH; Conc 250000 nM_X 	Run 1; Fc 4-1; Cy 30; SAH; Conc 250000 nM_Y 	Run 1; Fc 4-1; Cy 30; SAH; Conc 250000 nM; Fitted_X 	Run 1; Fc 4-1; Cy 30; SAH; Conc 250000 nM; Fitted_Y 	
-57.1000022888184 	-0.00195276737213135 	-57.1000022888184 	0 	-57.0999984741211 	0.169923722743988 	-57.0999984741211 	0 	-57.0999984741211 	-0.00976377725601196 	-57.0999984741211 	0 	-57.0999984741211 	-0.025388777256012 	-57.0999984741211 	0 	-57.1000022888184 	0.146484732627869 	-57.1000022888184 	0 	-57.0999984741211 	-0.189451277256012 	-57.0999984741211 	0 	-57.1000022888184 	0.0175784826278687 	-57.1000022888184 	0 	-57.1000022888184 	0.107422232627869 	-57.1000022888184 	0 	-57.0999984741211 	0.044923722743988 	-57.0999984741211 	0 	-57.1000022888184 	-0.119140267372131 	-57.1000022888184 	0 	-57.0999984741211 	-0.095701277256012 	-57.0999984741211 	0 	-57.1000022888184 	0.103515982627869 	-57.1000022888184 	0 	-57.0999984741211 	0.00195497274398804 	-57.0999984741211 	0 	-57.0999984741211 	0.033204972743988 	-57.0999984741211 	0 	-57.0999984741211 	0.013673722743988 	-57.0999984741211 	0 	-57.1000022888184 	-0.0410152673721313 	-57.1000022888184 	0 	
-57 	0.080078125 	-57 	0 	-57 	0.193359375 	-57 	0 	-57 	0.052734375 	-57 	0 	-57 	-0.001953125 	-57 	0 	-57 	0.123046875 	-57 	0 	-57 	-0.154296875 	-57 	0 	-57 	0.103515625 	-57 	0 	-57 	-0.017578125 	-57 	0 	-57 	0.107421875 	-57 	0 	-57 	-0.123046875 	-57 	0 	-57 	-0.052734375 	-57 	0 	-57 	0.072265625 	-57 	0 	-57 	0.013671875 	-57 	0 	-57 	0.087890625 	-57 	0 	-57 	0.017578125 	-57 	0 	-57 	0.080078125 	-57 	0 	
-56.9000015258789 	0.103515565395355 	-56.9000015258789 	0 	-56.8999977111816 	0.169920980930328 	-56.8999977111816 	0 	-56.8999977111816 	0.0253897309303284 	-56.8999977111816 	0 	-56.8999977111816 	0.0175772309303284 	-56.8999977111816 	0 	-56.9000015258789 	0.115234315395355 	-56.9000015258789 	0 	-56.8999977111816 	-0.173829019069672 	-56.8999977111816 	0 	-56.9000015258789 	0.0644530653953552 	-56.9000015258789 	0 	-56.9000015258789 	-0.0136719346046448 	-56.9000015258789 	0 	-56.8999977111816 	0.0996084809303284 	-56.8999977111816 	0 	-56.9000015258789 	-0.130859434604645 	-56.9000015258789 	0 	-56.8999977111816 	-0.0800790190696716 	-56.8999977111816 	0 	-56.9000015258789 	0.0566405653953552 	-56.9000015258789 	0 	-56.8999977111816 	0.0371084809303284 	-56.8999977111816 	0 	-56.8999977111816 	0.0800772309303284 	-56.8999977111816 	0 	-56.8999977111816 	0.00976473093032837 	-56.8999977111816 	0 	-56.9000015258789 	0.0253905653953552 	-56.9000015258789 	0 	
-56.7999992370605 	0.099609375 	-56.7999992370605 	0 	-56.7999992370605 	0.150390625 	-56.7999992370605 	0 	-56.7999992370605 	-0.005859375 	-56.7999992370605 	0 	-56.7999992370605 	0.009765625 	-56.7999992370605 	0 	-56.7999992370605 	0.107421875 	-56.7999992370605 	0 	-56.7999992370605 	-0.189453125 	-56.7999992370605 	0 	-56.7999992370605 	0.044921875 	-56.7999992370605 	0 	-56.7999992370605 	-0.025390625 	-56.7999992370605 	0 	-56.7999992370605 	0.083984375 	-56.7999992370605 	0 	-56.7999992370605 	-0.150390625 	-56.7999992370605 	0 	-56.7999992370605 	-0.080078125 	-56.7999992370605 	0 	-56.7999992370605 	0.056640625 	-56.7999992370605 	0 	-56.7999992370605 	0.037109375 	-56.7999992370605 	0 	-56.7999992370605 	0.048828125 	-56.7999992370605 	0 	-56.7999992370605 	-0.029296875 	-56.7999992370605 	0 	-56.7999992370605 	-0.021484375 	-56.7999992370605 	0 	
-56.7000007629395 	0.109375 	-56.7000007629395 	0 	-56.7000007629395 	0.140625 	-56.7000007629395 	0 	-56.7000007629395 	0.0078125 	-56.7000007629395 	0 	-56.7000007629395 	0.02734375 	-56.7000007629395 	0 	-56.7000007629395 	0.1015625 	-56.7000007629395 	0 	-56.7000007629395 	-0.1796875 	-56.7000007629395 	0 	-56.7000007629395 	0.05078125 	-56.7000007629395 	0 	-56.7000007629395 	-0.0390625 	-56.7000007629395 	0 	-56.7000007629395 	0.0859375 	-56.7000007629395 	0 	-56.7000007629395 	-0.15625 	-56.7000007629395 	0 	-56.7000007629395 	-0.0625 	-56.7000007629395 	0 	-56.7000007629395 	0.05078125 	-56.7000007629395 	0 	-56.7000007629395 	0.02734375 	-56.7000007629395 	0 	-56.7000007629395 	0.05859375 	-56.7000007629395 	0 	-56.7000007629395 	-0.0234375 	-56.7000007629395 	0 	-56.7000007629395 	0.00390625 	-56.7000007629395 	0 	
-56.6000022888184 	0.12109375 	-56.6000022888184 	0 	-56.5999984741211 	0.140625208616257 	-56.5999984741211 	0 	-56.5999984741211 	0.0156252086162567 	-56.5999984741211 	0 	-56.5999984741211 	0.0195314586162567 	-56.5999984741211 	0 	-56.6000022888184 	0.1171875 	-56.6000022888184 	0 	-56.5999984741211 	-0.179687291383743 	-56.5999984741211 	0 	-56.6000022888184 	0.0546875 	-56.6000022888184 	0 	-56.6000022888184 	-0.03515625 	-56.6000022888184 	0 	-56.5999984741211 	0.0976564586162567 	-56.5999984741211 	0 	-56.6000022888184 	-0.16015625 	-56.6000022888184 	0 	-56.5999984741211 	-0.0624997913837433 	-56.5999984741211 	0 	-56.6000022888184 	0.0546875 	-56.6000022888184 	0 	-56.5999984741211 	0.0273439586162567 	-56.5999984741211 	0 	-56.5999984741211 	0.0507814586162567 	-56.5999984741211 	0 	-56.5999984741211 	-0.0195310413837433 	-56.5999984741211 	0 	-56.6000022888184 	-0.00390625 	-56.6000022888184 	0 	
-56.5 	0.111328125 	-56.5 	0 	-56.5 	0.146484375 	-56.5 	0 	-56.5 	0.013671875 	-56.5 	0 	-56.5 	0.017578125 	-56.5 	0 	-56.5 	0.134765625 	-56.5 	0 	-56.5 	-0.173828125 	-56.5 	0 	-56.5 	0.041015625 	-56.5 	0 	-56.5 	-0.037109375 	-56.5 	0 	-56.5 	0.095703125 	-56.5 	0 	-56.5 	-0.166015625 	-56.5 	0 	-56.5 	-0.056640625 	-56.5 	0 	-56.5 	0.060546875 	-56.5 	0 	-56.5 	0.033203125 	-56.5 	0 	-56.5 	0.044921875 	-56.5 	0 	-56.5 	-0.025390625 	-56.5 	0 	-56.5 	0.001953125 	-56.5 	0 	
-56.4000015258789 	0.123046934604645 	-56.4000015258789 	0 	-56.3999977111816 	0.142578125 	-56.3999977111816 	0 	-56.3999977111816 	0.025390625 	-56.3999977111816 	0 	-56.3999977111816 	0.025390625 	-56.3999977111816 	0 	-56.4000015258789 	0.158203184604645 	-56.4000015258789 	0 	-56.3999977111816 	-0.173828125 	-56.3999977111816 	0 	-56.4000015258789 	0.0449219346046448 	-56.4000015258789 	0 	-56.4000015258789 	-0.0253905653953552 	-56.4000015258789 	0 	-56.3999977111816 	0.115234375 	-56.3999977111816 	0 	-56.4000015258789 	-0.150390565395355 	-56.4000015258789 	0 	-56.3999977111816 	-0.060546875 	-56.3999977111816 	0 	-56.4000015258789 	0.0644531846046448 	-56.4000015258789 	0 	-56.3999977111816 	0.037109375 	-56.3999977111816 	0 	-56.3999977111816 	0.048828125 	-56.3999977111816 	0 	-56.3999977111816 	-0.021484375 	-56.3999977111816 	0 	-56.4000015258789 	0.0175781846046448 	-56.4000015258789 	0 	
-56.2999992370605 	0.107421875 	-56.2999992370605 	0 	-56.2999992370605 	0.142578125 	-56.2999992370605 	0 	-56.2999992370605 	0.013671875 	-56.2999992370605 	0 	-56.2999992370605 	0.005859375 	-56.2999992370605 	0 	-56.2999992370605 	0.154296875 	-56.2999992370605 	0 	-56.2999992370605 	-0.173828125 	-56.2999992370605 	0 	-56.2999992370605 	0.041015625 	-56.2999992370605 	0 	-56.2999992370605 	-0.048828125 	-56.2999992370605 	0 	-56.2999992370605 	0.115234375 	-56.2999992370605 	0 	-56.2999992370605 	-0.158203125 	-56.2999992370605 	0 	-56.2999992370605 	-0.044921875 	-56.2999992370605 	0 	-56.2999992370605 	0.052734375 	-56.2999992370605 	0 	-56.2999992370605 	0.041015625 	-56.2999992370605 	0 	-56.2999992370605 	0.056640625 	-56.2999992370605 	0 	-56.2999992370605 	-0.044921875 	-56.2999992370605 	0 	-56.2999992370605 	0.021484375 	-56.2999992370605 	0 	
-56.2000007629395 	0.10546875 	-56.2000007629395 	0 	-56.2000007629395 	0.13671875 	-56.2000007629395 	0 	-56.2000007629395 	0.00390625 	-56.2000007629395 	0 	-56.2000007629395 	-0.00390625 	-56.2000007629395 	0 	-56.2000007629395 	0.15234375 	-56.2000007629395 	0 	-56.2000007629395 	-0.1875 	-56.2000007629395 	0 	-56.2000007629395 	0.03125 	-56.2000007629395 	0 	-56.2000007629395 	-0.046875 	-56.2000007629395 	0 	-56.2000007629395 	0.125 	-56.2000007629395 	0 	-56.2000007629395 	-0.1640625 	-56.2000007629395 	0 	-56.2000007629395 	-0.046875 	-56.2000007629395 	0 	-56.2000007629395 	0.0546875 	-56.2000007629395 	0 	-56.2000007629395 	0.03125 	-56.2000007629395 	0 	-56.2000007629395 	0.03515625 	-56.2000007629395 	0 	-56.2000007629395 	-0.0546875 	-56.2000007629395 	0 	-56.2000007629395 	0.00390625 	-56.2000007629395 	0 	
